File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -t"
PDR Parameters: -r -y -t
Parameter Set: 21 of 32
Started at: Sat 14 Jun 2025 08:55:21 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 110      0.19 sec
  2 : 0 207 401                                                           5   415 106      1.19 sec
  3 : 0 18 45 456                                                         5   491  42      1.64 sec
  4 : 0 15 44 126 399                                                     5   500   7      1.72 sec
  5 : 0 10 2 37 80 572                                                    6   639  73      2.45 sec
  6 : 0 12 2 37 8 164 617                                                 9   685  12      3.03 sec
  7 : 0 15 4 37 8 156 226 894                                             9   930 132      6.03 sec
  8 : 0 13 3 37 8 156 68 51 1048                                          9   933   2      6.69 sec
  9 : 0 20 7 42 12 156 68 35 473 781                                     13  1018  39      7.76 sec
 10 : 0 16 6 41 11 159 75 26 308 372 1140                                16  1069  27     10.64 sec
 11 : 0 11 3 37 8 157 70 26 319 380 640 927                              27  1109  20     13.49 sec
 12 : 0 11 3 37 8 157 70 21 312 361 207 154 1127                         11  1109   0     14.79 sec
 13 : 0 12 6 40 14 175 97 41 322 340 233 166 464 1325                    47  1221  56     21.26 sec
 14 : 0 10 2 36 7 156 69 20 310 334 148 73 295 302 1305                  22  1233   6     22.09 sec
 15 : 0 11 6 39 13 161 74 22 314 353 164 90 314 256 608 1061             32  1257   7     24.06 sec
 16 : 0 11 4 39 9 158 73 23 312 347 159 82 151 82 126 367 1297           21  1264   4     25.66 sec
 17 : ... 11 4 39 9 158 73 23 312 353 173 88 162 128 126 109 339 1269    51  1267   2     26.93 sec
 18 : ... 4 39 9 158 73 23 312 346 166 89 168 114 126 99 168 477 1355     6  1267   0     29.19 sec
 19 : ... 163 81 28 316 379 186 113 200 166 168 110 166 298 571 1245     49  1275   6     37.07 sec
 20 : ... 71 23 312 381 188 115 227 279 298 186 184 161 400 612 1595     69  1289  12     41.61 sec
 21 : ... 23 312 410 223 142 259 300 319 181 105 57 196 323 758 1427     53  1323  12     44.81 sec
 22 : ... 312 398 196 131 261 300 350 203 103 46 189 215 185 506 1502    59  1328   3     46.74 sec
 23 : ... 418 224 161 290 371 409 285 156 66 193 282 174 327 732 1526    91  1335   6     52.23 sec
 24 : ... 221 158 316 380 419 289 178 85 205 224 94 148 291 752 1747     64  1347   7     56.98 sec
 25 : ... 150 331 373 416 278 174 83 199 199 69 111 117 162 378 1836     47  1347   1     58.92 sec
 26 : ... 346 402 470 319 198 87 199 201 73 123 142 177 417 600 1698     59  1354   5     63.94 sec
 27 : ... 375 491 545 378 228 106 117 109 59 66 70 48 74 274 587 1658    68  1369   8     67.90 sec
 28 : ... 457 530 368 226 109 118 110 59 71 83 63 75 95 223 511 1785     22  1369   0     70.49 sec
 29 : ... 530 368 227 109 120 113 64 68 73 46 50 54 46 148 503 1765      37  1369   0     73.68 sec
 30 : ... 369 227 109 120 111 57 65 70 43 45 47 38 153 311 401 1940      49  1371   1     76.28 sec
