File: abc_unknown_cases/bobsmvhd3.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -y -n -t -k"
PDR Parameters: -y -n -t -k
Parameter Set: 31 of 32
Started at: Tue 17 Jun 2025 12:35:08 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -y -n -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 581                                                               2   572 302      1.33 sec
  2 : 0 175 641                                                           7   667  40      1.66 sec
  3 : 0 70 131 616                                                       12   695  13      1.84 sec
  4 : 0 64 67 118 710                                                    10   751  27      2.18 sec
  5 : 0 43 35 71 126 675                                                  8   754   1      2.31 sec
  6 : 0 50 40 86 162 246 975                                             30   879  50      3.50 sec
  7 : 0 54 41 86 121 313 638 1239                                        37   934  17      5.24 sec
  8 : 0 54 41 87 130 223 406 729 975                                     22   942   5      6.08 sec
  9 : 0 55 45 88 145 276 390 608 1017 1616                               28  1057  68     10.41 sec
 10 : 0 67 49 90 143 277 376 620 1155 1551 1767                         355  1083   3     19.91 sec
 11 : 0 61 45 88 150 281 336 402 767 1209 1455 1686                      49  1089   2     24.10 sec
 12 : 0 62 45 88 146 264 318 372 554 805 1075 1259 1920                  50  1111   2     27.88 sec
 13 : 0 62 45 88 146 264 297 342 421 553 637 961 1282 1983               29  1111   0     31.97 sec
 14 : 0 62 45 88 146 263 296 344 415 536 630 794 1340 1426 1980          93  1111   0     39.54 sec
 15 : ... 62 45 88 146 256 291 324 385 440 486 543 532 844 1274 2406     26  1111   0     42.99 sec
 16 : ... 45 88 146 256 270 320 389 436 482 521 478 456 704 1252 2008    25  1111   0     44.92 sec
 17 : ... 146 249 263 320 401 437 509 575 558 571 853 1524 2034 2682     82  1111   0     64.26 sec
 18 : ... 247 253 303 379 405 402 481 446 439 544 792 1534 1802 2353     27  1111   0     70.28 sec
 19 : ... 253 298 371 397 402 485 457 455 544 789 1294 2023 1982 2199    98  1111   0     83.52 sec
 20 : ... 363 403 397 480 453 471 575 829 1182 1547 2122 2503 2647      116  1111   0    105.60 sec
 21 : ... 396 383 452 420 436 511 766 1026 1184 1330 1724 2194 2383      55  1111   0    114.14 sec
 22 : ... 383 454 417 441 514 773 990 1143 1440 2048 2939 4458 3606     231  1111   0    188.15 sec
 23 : ... 451 407 424 505 748 971 1098 1327 1810 2149 2736 3715 2863    167  1111   0    210.46 sec
 24 : ... 403 412 489 750 945 1069 1292 1736 2040 2522 3199 3117 2559    99  1111   0    238.30 sec
 25 : ... 485 756 960 1174 1650 2715 4313 6165 7239 7149 6822 4465     2620  1111   0    599.67 sec
 26 : ... 913 1077 1312 1956 3119 4174 4912 5154 4338 4881 7601 4409    619  1111   0    821.63 sec
 27 : ... 977 1156 1696 2645 3232 3546 3873 4006 3832 4754 7214 4670    309  1111   0    944.46 sec
 28 : ... 1018 1524 2467 3036 3272 3494 3469 3216 2877 3219 3831 6662   171  1111   0    990.22 sec
 29 : ... 1504 2454 3050 3328 3661 3885 3858 3667 3582 3733 6505 5905   451  1111   0   1169.17 sec
 30 : ... 2349 2780 2893 3112 3049 2979 2942 2916 2719 3005 6186 5205    70  1111   0   1209.84 sec
 31 : ... 3135 3545 4062 4279 4399 4488 4485 4171 3908 6302 7321 4233   804  1111   0   1618.86 sec
 32 : ... 2594 2716 2708 2775 2831 3022 2881 2598 2220 2037 4712 7994   371  1111   0   1725.35 sec
 33 : ... 2406 2262 2186 2082 2130 1935 1755 1696 1526 2748 4767 5964   237  1111   0   1800.43 sec
 34 : ... 1472 1393 1268 1266 1261 1149 1074 906 833 2322 4357 6207      77  1111   0   1826.94 sec
 35 : ... 1697 1551 1526 1508 1407 1330 1130 1015 1022 2311 5415 5690   419  1111   0   1903.76 sec
 36 : ... 1463 1413 1382 1271 1095 940 892 882 1108 3061 3421 5938       27  1111   0   1921.32 sec
 37 : ... 1703 1662 1555 1392 1284 1255 1275 1238 1436 2007 2441 8789   302  1111   0   2013.18 sec
 38 : ... 1805 1701 1510 1369 1339 1309 1246 1270 1114 2187 5908 5643   258  1111   0   2134.12 sec
 39 : ... 2067 1813 1778 1745 1683 1629 1596 1446 1851 5004 4749 4127   405  1111   0   2261.51 sec
 40 : ... 1353 1333 1419 1311 1253 1306 1127 1034 914 1486 1432 10590    42  1111   0   2291.20 sec
 41 : ... 1307 1407 1312 1251 1302 1118 1053 906 966 1167 4652 6929      90  1111   0   2316.85 sec
 42 : ... 2159 2145 2122 2185 1952 1879 1710 1695 1774 3627 6638 4941   470  1111   0   2710.10 sec
 43 : ... 1093 1002 981 1021 985 858 935 845 829 847 1043 2930 10450     50  1111   0   2752.57 sec
 44 : ... 988 958 1017 952 826 937 805 790 779 865 1191 5137 7259         0  1111   0   2771.56 sec
 45 : ... 1229 1173 1046 1159 1041 1019 1024 1078 1427 5419 4012 4741   258  1111   0   2891.09 sec
 46 : ... 971 1022 1073 937 936 871 820 804 933 883 939 870 3552 9621    61  1111   0   2928.81 sec
 47 : ... 996 1026 908 932 869 806 768 906 865 914 833 2296 6046 5450    93  1111   0   2960.59 sec
 48 : ... 953 831 885 849 787 759 904 863 851 723 1039 3352 5126 4829    50  1111   0   2988.54 sec
 49 : ... 787 802 829 766 714 849 774 840 567 495 590 907 1772 10594     40  1111   0   3012.34 sec
 50 : ... 879 919 858 798 906 877 885 671 633 759 761 1743 6612 5092    178  1111   0   3085.02 sec
 51 : ... 809 742 673 773 723 826 655 585 672 568 920 4954 4511 4703    155  1111   0   3135.57 sec
 52 : ... 672 646 695 565 672 634 611 527 561 486 435 457 2297 11106      0  1111   0   3158.81 sec
 53 : ... 716 763 639 746 703 673 597 614 551 514 534 2380 4964 6386    136  1111   0   3229.07 sec
 54 : ... 763 675 796 724 684 620 630 589 521 539 1661 3162 4046 5647   132  1111   0   3263.36 sec
 55 : ... 618 650 707 695 619 634 563 485 489 457 443 841 4214 8603      68  1111   0   3288.74 sec
 56 : ... 680 723 650 601 623 633 519 521 481 492 798 3613 5183 4808    107  1111   0   3319.05 sec
 57 : ... 656 631 592 570 548 473 465 472 408 349 335 389 2409 10690      0  1111   0   3341.59 sec
 58 : ... 648 607 588 560 482 472 480 415 357 342 397 2416 4001 6739     82  1111   0   3365.83 sec
 59 : ... 604 583 577 509 473 509 460 409 344 360 2085 3874 3907 4149    96  1111   0   3396.49 sec
 60 : ... 538 538 485 436 461 403 350 294 300 294 262 563 3043 9579       0  1111   0   3418.30 sec
 61 : ... 691 624 595 655 623 597 542 548 542 519 850 3355 5415 5112    189  1111   0   3517.59 sec
 62 : ... 415 385 522 485 383 318 416 402 315 286 254 241 459 13456       0  1111   0   3545.41 sec
 63 : ... 400 529 500 402 338 430 417 332 301 271 260 487 1680 11949    104  1111   0   3569.92 sec
 64 : ... 519 487 400 311 402 398 321 283 245 202 199 985 5541 7360       0  1111   0   3590.73 sec
----------------------------------------
STATUS: TIMEOUT (exceeded 3600 seconds)
Finished at: Tue 17 Jun 2025 01:35:08 AM CST
========================================
