File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -i -t -k"
PDR Parameters: -y -i -t -k
Parameter Set: 30 of 32
Started at: Sat 14 Jun 2025 09:11:47 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -i -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 104      0.10 sec
  2 : 0 196 408                                                           5   421 103      1.00 sec
  3 : 0 203 125 424                                                       5   503  43      1.42 sec
  4 : 0 203 6 117 428                                                     5   506   3      1.46 sec
  5 : 0 9 1 28 77 603                                                     6   640  71      1.99 sec
  6 : 0 8 1 28 7 163 620                                                  7   682  10      2.51 sec
  7 : 0 12 1 28 7 168 455 854                                            10   925 132      4.35 sec
  8 : 0 9 1 28 7 156 71 57 1054                                          10   928   2      4.89 sec
  9 : 0 14 4 31 9 157 73 75 546 848                                      12  1013  39      5.79 sec
 10 : 0 12 1 28 7 156 70 55 347 443 1059                                 14  1040  28      9.12 sec
 11 : 0 9 1 28 7 157 71 60 394 498 678 964                               22  1093  19     12.16 sec
 12 : 0 9 1 28 7 157 71 20 302 403 199 135 1149                          21  1094   1     13.10 sec
 13 : 0 11 2 29 8 158 72 21 306 421 240 157 296 1287                     39  1213  53     14.91 sec
 14 : 0 11 2 29 8 158 72 21 306 427 168 68 107 317 1384                  21  1223   5     18.67 sec
 15 : 0 14 7 39 21 172 88 33 318 440 193 99 133 353 360 1418             37  1242   4     19.90 sec
 16 : 0 14 7 39 21 172 88 33 318 440 196 101 134 357 138 228 1347        18  1248   3     20.80 sec
 17 : ... 7 39 21 172 89 34 320 457 220 96 166 112 124 133 268 1362      49  1255   5     22.23 sec
 18 : ... 3 32 11 160 79 27 310 437 203 98 158 116 118 91 98 298 1251     4  1255   0     23.39 sec
 19 : ... 160 79 27 310 458 222 121 183 138 143 118 106 287 550 1275     44  1267   7     25.20 sec
 20 : ... 79 27 311 474 245 155 259 214 183 130 108 294 302 736 1537     62  1287  10     28.21 sec
 21 : ... 27 309 463 252 134 247 200 239 176 108 53 114 141 458 1341     61  1312   9     30.27 sec
 22 : ... 309 440 232 133 265 203 245 181 108 53 111 143 270 449 1448    33  1323   5     32.88 sec
 23 : ... 451 243 145 286 236 263 188 111 53 112 144 270 144 630 1314    54  1332   6     37.74 sec
 24 : ... 254 150 299 258 286 200 115 54 114 148 282 109 315 431 1577    63  1340   6     40.63 sec
 25 : ... 150 299 258 286 200 115 54 114 148 282 109 96 108 260 1687     14  1340   0     42.14 sec
 26 : ... 322 302 335 236 135 75 128 156 290 81 74 61 132 404 1525       68  1344   3     44.93 sec
 27 : ... 348 355 261 148 78 128 156 293 90 80 56 100 303 500 1888       59  1360   9     48.59 sec
 28 : ... 277 333 250 149 45 110 110 50 64 67 49 78 100 103 488 1931     34  1360   0     50.48 sec
 29 : ... 341 265 185 85 147 144 84 97 99 89 87 85 101 313 811 2054      59  1366   2     53.57 sec
 30 : ... 265 185 85 147 144 84 97 99 89 87 60 54 135 137 167 2205       44  1367   1     54.98 sec
 31 : ... 185 85 147 144 84 97 99 89 90 63 55 134 125 153 424 1980       13  1367   0     55.80 sec
 32 : ... 104 157 146 85 98 102 54 47 55 51 132 109 123 317 402 2013     95  1369   1     58.43 sec
 33 : ... 157 146 85 98 102 54 47 55 51 132 109 118 147 112 257 2093     10  1369   0     59.41 sec
 34 : ... 146 85 98 102 54 47 55 51 132 109 117 142 79 60 137 2177       10  1369   0     61.36 sec
 35 : ... 85 98 102 54 47 55 51 132 115 131 181 172 194 244 620 2311     34  1369   0     64.54 sec
 36 : ... 127 168 224 322 390 337 349 341 223 178 189 345 634 2424      265  1369   0     75.89 sec
 37 : ... 86 104 97 88 160 165 162 212 154 142 165 144 250 517 2283      77  1369   1     77.86 sec
 38 : ... 106 101 189 201 208 272 219 209 238 229 361 565 1029 2281      76  1369   0     83.03 sec
 39 : ... 91 75 153 154 158 168 170 145 172 153 136 135 125 169 2710     84  1369   1     84.99 sec
 40 : ... 75 153 154 158 168 170 145 173 155 142 147 82 83 339 2458      19  1369   0     87.33 sec
