File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -n -c -t"
PDR Parameters: -r -y -f -n -c -t
Parameter Set: 16 of 32
Started at: Sat 14 Jun 2025 08:38:58 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -n -c -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 195                                                               2   195 110      0.19 sec
  2 : 0 191 400                                                           4   400 105      1.19 sec
  3 : 0 54 139 406                                                        5   487  43      1.69 sec
  4 : 0 11 33 117 423                                                     5   494   5      1.74 sec
  5 : 0 7 1 29 77 592                                                     6   629  72      2.46 sec
  6 : 0 7 1 29 7 165 611                                                  7   676  11      2.78 sec
  7 : 0 12 1 29 7 156 236 897                                            11   926 133      5.63 sec
  8 : 0 10 1 29 7 156 74 78 1086                                          9   929   2      6.56 sec
  9 : 0 12 3 30 12 159 74 27 502 783                                     11  1013  39      7.58 sec
 10 : 0 15 3 30 9 156 73 26 301 773 1089                                 18  1035  19     10.77 sec
 11 : 0 10 1 29 7 157 76 27 304 696 696 998                              19  1082  26     14.11 sec
 12 : 0 10 1 29 7 157 76 25 300 488 502 218 1176                          9  1082   0     15.42 sec
 13 : 0 10 1 29 8 158 76 25 302 495 519 225 364 1241                     19  1192  54     21.55 sec
 14 : 0 10 1 29 7 157 76 25 301 489 447 123 183 255 1299                 17  1201   5     28.30 sec
 15 : 0 14 12 41 25 172 82 32 305 498 452 129 190 100 268 1388           27  1228   6     31.85 sec
 16 : 0 11 4 32 10 159 78 27 303 528 466 140 201 87 136 223 1327         25  1236   4     35.57 sec
 17 : ... 4 32 10 159 78 27 303 523 460 145 219 133 142 129 269 1316     31  1244   5     37.80 sec
 18 : ... 32 10 159 78 27 303 522 460 144 219 108 145 107 88 231 1252     3  1244   0     39.17 sec
 19 : ... 159 78 27 303 526 464 148 228 159 183 129 98 216 466 1289      49  1257   8     41.69 sec
 20 : ... 78 27 303 526 464 147 230 159 187 131 106 36 106 293 1302      37  1259   2     43.10 sec
 21 : ... 27 303 540 475 155 268 227 221 159 121 38 107 202 758 1379     46  1300  21     47.99 sec
 22 : ... 303 544 484 161 296 292 276 199 159 52 116 171 404 877 1529    73  1310   5     53.67 sec
 23 : ... 540 483 164 317 290 316 225 200 82 127 75 56 85 408 1491       48  1321   6     56.26 sec
 24 : ... 482 163 321 277 310 220 214 85 126 76 55 85 190 499 1458       48  1327   4     59.18 sec
 25 : ... 163 321 273 311 217 213 85 126 76 55 81 103 136 294 1561       12  1327   0     60.55 sec
 26 : ... 332 298 333 233 220 87 126 77 58 97 137 132 260 300 1683       45  1339   8     65.53 sec
 27 : ... 349 354 388 272 235 103 129 81 51 70 108 91 65 87 286 1658     61  1354   7     69.24 sec
 28 : ... 340 381 260 238 125 141 81 54 78 105 85 78 76 179 616 1805     48  1357   2     72.63 sec
 29 : ... 285 265 156 166 116 88 113 134 104 92 89 76 336 761 1734       69  1364   2     78.07 sec
 30 : ... 271 247 134 149 90 60 72 102 48 50 50 49 124 91 145 2117        6  1364   0     79.89 sec
 31 : ... 253 147 161 102 63 73 105 50 55 52 49 128 84 112 246 2039      65  1366   1     82.63 sec
 32 : ... 142 160 102 65 72 105 49 56 52 49 126 78 94 108 282 1952        6  1366   0     85.04 sec
 33 : ... 142 160 102 65 72 105 49 56 52 49 126 74 97 98 257 310 1900     5  1366   0     87.25 sec
 34 : ... 104 64 72 105 49 56 53 49 131 80 102 99 102 111 350 1922       61  1366   1     89.31 sec
 35 : ... 70 73 105 47 56 54 51 141 88 116 126 131 119 245 541 1979      56  1367   1     94.00 sec
 36 : ... 75 74 107 47 59 52 48 125 64 91 102 90 69 72 222 275 2129      83  1367   1     97.16 sec
 37 : ... 75 74 107 47 56 50 43 121 59 89 100 91 70 69 52 45 153 2253    10  1367   0     98.69 sec
 38 : ... 74 107 47 56 50 43 122 58 89 93 83 65 51 26 31 34 147 2280     13  1367   0    100.43 sec
 39 : ... 107 47 56 50 43 121 57 89 93 83 65 51 27 33 19 34 213 2237     16  1367   0    101.99 sec
 40 : ... 47 56 50 43 121 57 89 93 83 65 57 30 37 23 16 36 256 2163      17  1367   0    103.29 sec
 41 : ... 58 53 138 69 103 101 93 74 59 38 32 24 17 17 185 367 2185      87  1367   1    106.85 sec
 42 : ... 48 41 118 57 86 79 67 58 58 49 41 30 19 11 19 141 395 2074     11  1367   0    108.56 sec
 43 : ... 122 63 89 85 95 99 115 124 94 107 101 83 84 87 97 300 2242    120  1370   2    120.24 sec
 44 : ... 123 67 95 85 72 80 84 85 65 61 65 58 87 83 81 234 277 2329     91  1370   1    123.60 sec
 45 : ... 122 67 94 84 71 74 79 81 60 58 59 50 78 71 69 50 14 38 2523     0  1370   0    125.27 sec
 46 : ... 67 94 84 71 74 79 81 60 58 59 50 78 71 69 51 16 39 265 2286     4  1370   0    126.55 sec
 47 : ... 92 77 101 82 82 62 59 60 51 83 75 74 55 21 28 218 315 2367     96  1370   0    131.55 sec
 48 : ... 86 72 91 81 81 61 57 59 50 77 71 69 50 17 16 9 22 221 2416      0  1370   0    133.97 sec
 49 : ... 114 100 105 109 99 120 103 89 73 41 34 32 48 242 449 2311      55  1370   0    139.52 sec
 50 : ... 92 88 71 63 74 79 114 91 84 73 38 30 19 20 26 51 245 2589      12  1370   0    141.78 sec
 51 : ... 88 70 63 74 79 114 91 88 81 51 42 31 32 36 30 70 289 2571      17  1370   0    144.40 sec
 52 : ... 70 63 70 72 109 92 77 64 33 33 27 21 25 27 34 192 309 2571     17  1370   0    147.03 sec
 53 : ... 63 70 72 109 92 77 64 34 33 26 22 26 27 25 16 69 286 2585      13  1370   0    148.85 sec
 54 : ... 74 75 113 96 81 67 37 37 31 24 28 31 23 18 17 22 200 2741     119  1370   1    155.89 sec
 55 : ... 171 164 163 125 81 72 62 62 60 60 55 57 57 53 105 387 2773    248  1370   0    185.01 sec
 56 : ... 136 108 99 55 44 36 29 32 34 33 24 26 21 23 108 405 2645       31  1370   0    187.83 sec
 57 : ... 132 109 91 56 44 31 22 26 24 30 23 24 20 20 50 267 495 2555    97  1371   1    192.12 sec
 58 : ... 106 99 68 61 46 38 48 49 59 46 47 38 32 27 44 98 364 2793      99  1371   1    196.94 sec
 59 : ... 95 90 59 51 33 30 26 25 27 22 22 25 28 19 26 20 53 317 2777     4  1371   0    200.66 sec
 60 : ... 75 62 35 31 26 25 27 22 22 25 29 29 37 32 33 217 318 2871     152  1373   1    209.81 sec
 61 : ... 70 62 33 31 21 27 25 21 19 27 23 19 24 32 24 15 22 159 3034     7  1373   0    212.46 sec
 62 : ... 62 33 31 21 27 25 21 19 27 23 19 24 30 23 14 10 35 294 2839     0  1373   0    214.52 sec
 63 : ... 33 23 31 29 26 26 30 27 23 35 37 32 23 21 52 326 526 2643     154  1373   2    222.66 sec
 64 : ... 31 19 25 23 19 18 24 22 16 23 26 21 14 12 13 13 48 337 2935     4  1373   0    225.93 sec
 65 : ... 67 39 29 22 27 25 19 27 29 24 20 12 11 13 23 193 316 3105     190  1373   1    244.59 sec
 66 : ... 78 59 28 24 25 22 18 23 26 21 14 12 11 12 12 10 46 394 3034     7  1373   0    247.49 sec
 67 : ... 28 24 25 22 18 23 26 21 16 14 12 13 15 15 38 269 528 2937     114  1373   1    252.53 sec
 68 : ... 28 24 25 22 18 23 26 21 14 12 12 13 11 12 9 22 119 277 3147     8  1373   0    255.67 sec
 69 : ... 28 24 25 22 18 23 26 21 14 12 11 11 10 10 7 8 9 35 184 3279     4  1373   0    258.92 sec
 70 : ... 24 25 22 18 23 26 21 14 12 11 11 10 10 7 8 8 8 35 318 3086      0  1373   0    261.06 sec
 71 : ... 47 45 35 31 17 15 17 13 14 12 10 14 15 18 48 337 624 2944     226  1376   1    289.99 sec
 72 : ... 65 38 37 47 33 26 22 15 13 11 11 7 8 8 9 9 10 21 141 3505       5  1376   0    293.97 sec
 73 : ... 65 38 37 47 33 26 22 15 13 11 11 7 8 8 8 8 7 7 18 199 3406      0  1376   0    297.51 sec
 74 : ... 38 37 47 33 26 22 16 13 11 13 9 9 9 8 8 8 8 19 203 405 3282   241  1376   1    314.89 sec
 75 : ... 55 44 44 35 26 25 13 15 12 11 7 8 8 7 8 7 7 6 7 88 430 3192     3  1376   0    318.76 sec
 76 : ... 25 13 15 14 15 13 12 14 13 14 17 17 16 15 56 313 601 3004      98  1376   1    323.36 sec
 77 : ... 29 35 33 35 22 30 30 32 36 37 32 35 26 21 23 111 454 3670      99  1376   0    333.26 sec
 78 : ... 29 20 19 18 14 24 15 15 14 15 18 18 12 19 30 159 468 3659     204  1379   1    347.39 sec
 79 : ... 29 19 20 18 13 23 13 14 14 15 18 18 12 18 15 11 17 65 4085      0  1379   0    351.44 sec
 80 : ... 21 21 18 13 23 13 14 14 15 18 18 12 18 15 11 18 67 343 3810     4  1379   0    354.52 sec
 81 : ... 20 14 23 13 14 14 15 19 18 12 19 15 12 20 17 123 504 3584      66  1379   0    358.95 sec
 82 : ... 14 25 13 14 14 15 18 18 12 18 15 11 18 14 16 263 414 3523       6  1379   0    362.36 sec
 83 : ... 189 143 149 143 147 132 123 76 72 74 81 67 283 323 504 3476   169  1379   0    395.50 sec
 84 : ... 45 32 49 36 31 34 36 59 46 36 28 33 31 33 26 34 16 71 4107      0  1379   0    399.26 sec
 85 : ... 35 51 40 34 39 39 65 48 39 32 36 35 37 29 36 19 74 231 3912    76  1379   0    403.82 sec
 86 : ... 40 33 37 38 65 50 42 33 39 37 41 32 36 24 37 111 399 3748     109  1379   1    407.74 sec
 87 : ... 40 33 37 37 62 48 39 32 37 35 38 30 34 22 33 14 72 469 3829   196  1381   1    418.92 sec
 88 : ... 56 55 81 64 57 55 51 49 50 42 47 31 44 25 38 350 808 3538     179  1383   2    440.50 sec
 89 : ... 36 33 62 44 36 41 40 35 37 31 48 32 35 17 14 9 236 281 3932     0  1383   0    444.96 sec
 90 : ... 62 44 36 41 40 35 37 31 48 32 35 18 16 11 239 285 447 3720      7  1383   0    450.24 sec
 91 : ... 33 62 44 36 41 40 35 37 31 48 32 35 17 14 9 8 9 6 84 4351       0  1383   0    454.65 sec
 92 : ... 62 44 36 41 40 35 37 31 48 32 35 17 14 9 8 10 8 87 535 3880     5  1383   0    458.03 sec
 93 : ... 44 36 41 40 35 37 31 48 32 35 17 14 9 8 9 8 29 258 608 3788     5  1383   0    462.25 sec
 94 : ... 40 35 37 31 48 32 35 17 16 13 11 14 14 19 17 100 588 3838      14  1383   0    466.17 sec
 95 : ... 40 35 37 31 48 32 35 17 11 13 11 10 9 9 9 12 263 437 3804       8  1383   0    470.03 sec
 96 : ... 35 37 31 48 32 35 17 11 13 11 10 9 9 10 12 241 301 585 3577    14  1383   0    475.05 sec
 97 : ... 40 35 37 31 48 32 35 17 11 13 11 10 9 9 8 9 9 8 11 53 4389      0  1383   0    478.84 sec
 98 : ... 35 37 31 48 32 35 17 11 13 11 10 9 9 8 9 9 8 11 54 371 4056     4  1383   0    483.63 sec
 99 : ... 34 38 19 13 16 13 12 12 10 12 10 12 12 18 30 249 661 3754      31  1383   0    489.15 sec
100 : ... 59 48 33 37 34 34 32 35 21 20 15 16 19 20 18 157 450 3964      54  1383   0    494.91 sec
101 : ... 25 19 24 23 20 17 22 63 27 16 13 14 17 13 9 11 23 373 4167    221  1384   1    508.09 sec
102 : ... 26 16 10 18 10 11 10 14 52 20 9 6 6 6 9 6 10 8 244 300 4009     0  1384   0    512.54 sec
103 : ... 10 18 10 11 10 14 52 20 9 6 6 6 9 7 11 10 248 305 524 3720      7  1384   0    516.89 sec
104 : ... 16 10 18 10 11 10 14 52 20 9 6 6 6 9 6 10 8 9 8 90 543 3988     8  1384   0    521.37 sec
105 : ... 10 11 10 14 52 20 9 6 6 6 9 6 11 10 11 11 29 258 905 3688       8  1384   0    526.71 sec
106 : ... 18 10 11 10 14 52 20 9 6 6 6 9 6 10 8 9 7 10 8 35 151 4417      7  1384   0    530.93 sec
107 : ... 18 10 11 10 14 52 20 9 6 6 6 9 6 10 8 9 6 7 7 9 21 419 4160     5  1384   0    534.59 sec
108 : ... 10 11 10 14 52 20 9 6 6 6 9 6 10 8 9 6 7 6 8 7 291 459 3831     5  1384   0    538.26 sec
109 : ... 14 52 21 11 7 8 8 11 7 12 9 10 7 7 6 8 7 245 286 535 3750      22  1384   0    543.25 sec
110 : ... 27 22 19 18 20 18 21 20 21 16 20 21 17 14 20 19 88 321 4287   146  1384   1    555.44 sec
111 : ... 25 21 15 14 12 15 12 16 11 14 13 17 13 13 14 12 72 268 4407    87  1384   0    563.89 sec
112 : ... 18 19 13 15 12 14 15 13 11 14 12 11 19 17 18 133 500 4117     111  1384   0    571.39 sec
113 : ... 20 17 15 11 12 8 10 9 7 7 8 7 10 7 6 8 7 8 27 259 525 4112      6  1384   0    575.90 sec
114 : ... 20 17 15 11 12 8 10 9 7 7 8 7 10 7 6 8 6 6 6 7 9 297 4390       0  1384   0    579.64 sec
115 : ... 17 15 11 12 8 10 9 7 7 8 7 10 7 6 8 6 6 6 7 9 298 479 3949      4  1384   0    583.62 sec
116 : ... 11 12 8 10 9 7 7 8 7 10 7 6 8 6 6 6 9 11 261 350 693 3645       9  1384   0    588.73 sec
117 : ... 15 11 12 8 10 9 7 7 8 7 10 7 6 8 6 6 6 6 9 8 7 74 392 4273      7  1384   0    593.27 sec
118 : ... 17 17 17 18 18 12 16 13 14 12 13 15 14 12 39 262 622 4047      86  1384   0    603.85 sec
119 : ... 27 22 17 15 10 15 18 17 12 17 13 13 17 17 14 118 431 4279     119  1384   0    615.11 sec
120 : ... 18 18 14 11 13 14 8 12 13 8 11 9 11 7 12 8 8 10 49 459 4279     4  1384   0    619.57 sec
121 : ... 18 14 11 13 14 8 12 13 8 11 9 11 7 12 8 8 10 8 314 493 3963     5  1384   0    623.84 sec
122 : ... 20 12 18 20 12 17 17 20 13 22 17 18 16 13 269 316 499 3929     53  1384   0    629.41 sec
123 : ... 11 13 14 8 12 14 8 12 9 11 7 12 8 8 10 9 10 10 27 252 4515      8  1384   0    633.32 sec
124 : ... 13 14 8 12 14 8 12 9 11 7 12 8 9 10 7 8 10 10 127 544 4112     11  1384   0    637.17 sec
125 : ... 14 8 12 14 8 12 9 11 7 12 8 9 10 7 8 9 10 37 295 618 4034       5  1384   0    641.36 sec
126 : ... 334 315 338 369 344 314 200 105 53 49 48 37 27 134 371 4412   349  1384   0    808.00 sec
127 : ... 29 32 32 32 50 37 42 344 294 167 93 112 67 41 27 275 4658       0  1384   0    816.03 sec
128 : ... 32 32 32 50 37 42 344 294 167 93 112 67 41 27 275 324 4334      0  1384   0    819.98 sec
129 : ... 32 32 50 37 42 344 294 167 93 112 68 42 29 277 327 729 3901    10  1384   0    825.48 sec
130 : ... 54 41 47 354 301 175 100 123 74 45 31 36 60 372 1057 3711     104  1384   0    832.69 sec
131 : ... 31 49 36 42 341 295 158 92 107 67 41 29 19 26 29 14 13 4864     0  1384   0    838.34 sec
132 : ... 49 36 42 341 295 158 92 107 67 41 29 19 26 29 14 13 14 4850     0  1384   0    842.76 sec
133 : ... 42 341 295 158 92 107 67 41 29 19 26 29 14 13 14 399 4451       0  1384   0    846.68 sec
134 : ... 341 295 158 92 107 67 41 29 19 26 29 14 14 17 404 656 3872      9  1384   0    851.40 sec
135 : ... 295 158 92 107 67 41 29 19 26 29 15 16 9 290 314 568 3934       7  1384   0    856.56 sec
136 : ... 295 158 94 109 69 46 34 22 30 30 15 15 9 8 9 105 349 4461     183  1384   0    863.51 sec
137 : ... 295 157 92 107 65 44 30 19 26 30 15 16 8 5 5 8 89 365 4482     18  1384   0    869.72 sec
138 : ... 295 157 92 107 65 43 29 19 26 27 16 12 6 7 5 6 5 5 33 4828      0  1384   0    873.94 sec
139 : ... 157 92 107 65 43 29 19 26 27 16 12 6 7 5 6 5 5 33 554 4274      0  1384   0    877.77 sec
140 : ... 81 58 46 31 37 35 23 21 13 13 10 11 11 13 42 573 895 3910     185  1384   0    898.42 sec
