File: abc_unknown_cases/bobsmvhd3.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -y -t -k"
PDR Parameters: -y -t -k
Parameter Set: 32 of 32
Started at: Tue 17 Jun 2025 12:35:08 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -y -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 581                                                               2   572 302      1.33 sec
  2 : 0 175 641                                                           7   667  40      1.65 sec
  3 : 0 70 131 616                                                       12   695  13      1.84 sec
  4 : 0 62 64 117 711                                                     8   753  27      2.15 sec
  5 : 0 41 35 74 127 675                                                 10   758   1      2.26 sec
  6 : 0 41 33 84 147 181 909                                             29   873  44      2.87 sec
  7 : 0 44 35 84 141 303 768 1381                                        45   934  12      4.46 sec
  8 : 0 45 36 85 150 199 445 805 1020                                    18   942   4      5.20 sec
  9 : 0 53 39 89 181 270 405 659 1024 1544                               44  1057  65      8.41 sec
 10 : 0 66 53 98 187 280 486 782 1486 1857 1839                         348  1085   4     15.29 sec
 11 : 0 59 44 89 186 259 408 506 985 1597 1804 1914                     110  1085   0     19.92 sec
 12 : 0 60 44 89 184 257 400 527 803 1121 1482 2158 2432                120  1111   4     26.66 sec
 13 : 0 60 44 89 184 256 375 471 674 895 1211 1599 1799 2473             64  1111   0     33.16 sec
 14 : 0 60 44 89 184 251 367 480 674 918 1057 1232 1500 1953 2372       123  1111   0     40.51 sec
 15 : ... 44 89 183 257 376 449 608 846 870 962 1270 1794 2142 2231      53  1111   0     47.18 sec
 16 : ... 89 179 249 359 433 594 783 758 845 900 1121 1499 2057 1859     61  1111   0     50.96 sec
 17 : ... 246 354 435 596 762 732 827 911 1106 1560 2157 2278 2233       99  1111   0     61.87 sec
 18 : ... 335 397 528 726 659 730 791 988 1077 1100 1492 2149 2873       52  1111   0     69.03 sec
 19 : ... 325 384 517 718 633 684 699 865 826 702 746 1077 1168 3180      5  1111   0     71.66 sec
 20 : ... 528 738 685 778 870 1104 1112 1084 1211 1692 1986 2191 3199   194  1111   0     93.71 sec
 21 : ... 492 649 569 627 645 745 706 617 634 769 873 1345 1871 3630     52  1111   0    101.21 sec
 22 : ... 646 553 581 587 683 701 626 657 754 779 796 1214 1701 4236     80  1111   0    109.68 sec
 23 : ... 586 624 663 746 746 618 614 670 700 663 695 1220 1723 3734    122  1111   0    115.57 sec
 24 : ... 577 638 725 746 610 618 677 686 635 622 641 912 1415 3899      46  1111   0    120.09 sec
 25 : ... 1161 1148 1214 1225 1312 1381 1426 1487 1720 1918 2312 4070   710  1111   0    181.27 sec
 26 : ... 1238 1396 1616 1861 2112 2247 2344 2603 2647 2872 3510 4669   928  1111   0    300.70 sec
 27 : ... 1004 1105 1270 1356 1287 1247 1485 1421 1418 1754 4479 4995    83  1111   0    319.68 sec
 28 : ... 1258 1461 1551 1541 1560 1741 1618 1594 1712 2261 2764 5473   169  1111   0    352.05 sec
 29 : ... 1182 1308 1265 1237 1452 1379 1381 1481 1781 2132 3353 3705    46  1111   0    363.62 sec
 30 : ... 1460 1387 1403 1613 1564 1543 1632 1821 1835 1992 2693 4100   350  1111   0    386.81 sec
 31 : ... 4303 4843 4966 4713 4674 4947 5274 5489 5745 6177 6565 5086  3281  1111   0   1010.71 sec
 32 : ... 1190 1372 1230 1365 1588 1531 1945 1888 2383 3954 3675 6121   194  1111   0   1070.44 sec
 33 : ... 1150 1061 1139 1405 1321 1692 1638 2031 2054 2616 2964 6584    20  1111   0   1086.17 sec
 34 : ... 1079 1160 1416 1340 1713 1658 2044 2010 2153 2695 3374 4405    91  1111   0   1103.00 sec
 35 : ... 1678 1910 1844 2248 2237 2698 2698 2710 2749 3002 3001 5033   366  1111   0   1218.06 sec
 36 : ... 1095 1029 1218 1353 1526 1414 1345 1446 1271 1972 2614 6631     0  1111   0   1238.99 sec
 37 : ... 1372 1576 1716 1935 1821 1800 1928 1771 2456 3186 3985 4437   233  1111   0   1318.11 sec
 38 : ... 1355 1474 1726 1606 1544 1702 1546 1996 2035 1931 2999 6190   120  1111   0   1370.99 sec
 39 : ... 1815 1932 1793 1742 1730 1579 1533 1801 2071 3146 3815 6571   321  1111   0   1493.92 sec
 40 : ... 1596 1397 1344 1377 1242 1269 1513 1715 1562 1577 2233 8733    70  1111   0   1528.93 sec
 41 : ... 1333 1297 1383 1220 1276 1522 1724 1553 1430 2023 2730 7130    77  1111   0   1554.22 sec
 42 : ... 1422 1492 1368 1408 1657 1831 1585 1336 1777 2055 4155 5585   222  1111   0   1619.60 sec
 43 : ... 1814 1682 1697 1901 2177 1982 1871 2166 2236 3860 4288 6439   240  1111   0   1764.12 sec
 44 : ... 1286 1234 1479 1733 1502 1364 1313 1456 1440 1765 2141 9418     0  1111   0   1801.11 sec
 45 : ... 1602 1890 2217 2040 1925 1830 2034 2108 2417 2839 3893 7323   256  1111   0   1915.87 sec
 46 : ... 1239 1253 1239 1333 1431 1485 1459 1800 2242 2745 3887 7653    97  1111   0   1966.23 sec
 47 : ... 7739 7302 7107 6686 6326 5754 6190 6944 6868 7473 8656 9772  3762  1111   0   3552.21 sec
----------------------------------------
STATUS: TIMEOUT (exceeded 3600 seconds)
Finished at: Tue 17 Jun 2025 01:35:08 AM CST
========================================
