File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -i -n -t"
PDR Parameters: -y -i -n -t
Parameter Set: 28 of 32
Started at: Sat 14 Jun 2025 09:04:44 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -i -n -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 110      0.16 sec
  2 : 0 212 403                                                           5   414 107      0.99 sec
  3 : 0 217 135 420                                                       5   497  44      1.41 sec
  4 : 0 11 5 78 444                                                       5   499   2      1.43 sec
  5 : 0 9 2 39 81 572                                                     6   640  71      2.05 sec
  6 : 0 8 1 38 7 164 605                                                  7   674  12      2.58 sec
  7 : 0 13 1 38 7 167 226 888                                             8   924 130      4.66 sec
  8 : 0 12 1 38 7 154 71 56 1046                                         10   927   2      5.21 sec
  9 : 0 19 7 44 13 155 71 28 482 784                                     11  1012  38      6.16 sec
 10 : 0 17 8 45 13 160 77 29 312 456 1134                                14  1074  33      8.68 sec
 11 : 0 17 8 38 7 156 71 28 306 417 507 936                              22  1113  21     11.71 sec
 12 : 0 11 1 38 7 156 71 23 303 400 167 125 1138                          4  1113   0     13.47 sec
 13 : 0 13 2 39 8 158 72 24 305 418 193 119 470 1243                     28  1225  55     16.67 sec
 14 : 0 13 2 39 8 158 72 24 305 431 127 47 157 192 1358                  26  1237   6     17.70 sec
 15 : 0 15 5 45 15 166 80 38 320 451 149 66 182 133 355 1239             37  1261   6     19.48 sec
 16 : 0 15 5 45 15 166 80 38 320 453 155 67 182 159 417 457 1399         47  1268   3     21.36 sec
 17 : ... 5 45 15 166 80 38 320 454 158 61 174 138 229 254 333 1300      22  1273   3     23.61 sec
 18 : ... 45 15 166 80 38 320 454 158 61 174 138 231 255 192 483 1179     8  1273   0     24.63 sec
 19 : ... 15 166 80 38 321 485 199 114 232 210 226 83 36 194 434 1403    99  1277   2     27.13 sec
 20 : ... 73 26 305 479 193 125 231 201 251 150 90 55 218 378 1385       64  1296   7     29.79 sec
 21 : ... 26 305 526 239 162 289 271 299 177 100 57 201 321 768 1464    100  1324   8     33.23 sec
 22 : ... 305 457 217 129 241 239 298 226 116 62 204 177 317 820 1400    58  1330   4     35.60 sec
 23 : ... 471 236 147 272 274 310 245 140 74 208 169 106 380 898 1356    48  1343   6     39.38 sec
 24 : ... 244 152 296 313 335 263 148 80 225 191 124 401 420 852 1676    84  1350   6     43.33 sec
 25 : ... 152 296 313 335 263 148 80 225 191 79 143 85 124 554 2027      32  1350   1     44.71 sec
 26 : ... 301 344 362 276 151 81 226 192 80 146 92 140 322 679 1760      47  1358   5     48.50 sec
 27 : ... 361 390 428 323 187 95 131 74 75 61 63 43 75 67 480 1587       88  1373   8     51.93 sec
 28 : ... 345 414 339 206 102 134 75 76 65 67 51 83 65 251 486 1637      70  1374   1     54.75 sec
 29 : ... 414 339 206 102 134 75 76 65 67 51 84 66 68 266 491 1616       11  1374   0     56.36 sec
 30 : ... 340 206 102 134 75 76 65 67 39 76 63 53 142 104 126 1871       50  1376   1     62.71 sec
 31 : ... 340 206 102 134 75 76 65 67 39 76 63 53 144 84 115 293 1853    23  1376   0     64.55 sec
 32 : ... 132 144 140 128 106 139 126 104 178 112 121 184 419 1804       84  1376   0     68.19 sec
 33 : ... 109 139 83 85 71 67 51 68 61 49 112 63 89 109 215 293 2003     17  1376   0     70.40 sec
 34 : ... 109 139 83 85 71 67 51 68 61 44 107 57 83 92 38 63 284 1973     9  1376   0     71.49 sec
