File: abc_unknown_cases/bobsmvhd3.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -n -c -t"
PDR Parameters: -n -c -t
Parameter Set: 5 of 32
Started at: Tue 17 Jun 2025 12:18:02 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -n -c -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 591                                                               2   578 304      0.62 sec
  2 : 0 175 654                                                           6   677  41      0.81 sec
  3 : 0 48 72 657                                                         9   696  11      0.91 sec
  4 : 0 58 60 136 689                                                    13   758  28      1.20 sec
  5 : 0 48 40 72 134 674                                                  8   764   2      1.35 sec
  6 : 0 62 44 81 165 242 925                                             27   883  45      2.38 sec
  7 : 0 62 45 80 157 285 545 1146                                        30   936   7      3.62 sec
  8 : 0 64 47 80 169 215 259 635 986                                     15   946   6      4.14 sec
  9 : 0 77 62 86 199 328 408 715 1024 1451                               21  1058  68      7.99 sec
 10 : 0 92 73 88 179 256 442 483 766 999 1521                            50  1087   4     10.84 sec
 11 : 0 86 62 85 182 237 292 307 529 967 1317 1623                       23  1087   0     13.67 sec
 12 : 0 86 63 87 182 235 278 318 384 565 685 724 2341                    49  1111  16     15.85 sec
 13 : 0 86 63 87 182 235 261 303 334 399 372 479 811 2175                 8  1111   0     16.87 sec
 14 : 0 86 63 87 182 236 261 302 337 408 390 522 842 1081 1763           33  1111   0     19.49 sec
 15 : ... 86 63 87 182 232 249 279 321 376 296 273 266 350 1027 2354      9  1111   0     20.90 sec
 16 : ... 63 87 182 232 247 272 319 375 286 249 236 278 786 1290 1519    20  1111   0     22.41 sec
 17 : ... 182 232 247 269 306 367 300 250 222 241 556 1123 1512 1760     30  1111   0     26.15 sec
 18 : ... 231 246 269 306 367 293 242 207 191 268 517 845 761 2478       21  1111   0     28.43 sec
 19 : ... 246 271 306 365 284 228 187 164 174 194 205 246 586 3027       23  1111   0     29.99 sec
 20 : ... 252 289 377 267 216 170 143 155 160 161 164 543 597 2897       19  1111   0     31.56 sec
 21 : ... 289 377 267 216 170 142 154 162 171 107 141 475 560 2966       17  1111   0     33.08 sec
 22 : ... 289 377 267 216 171 140 154 158 160 95 95 111 232 808 2949     10  1111   0     34.32 sec
 23 : ... 383 264 213 166 138 152 155 149 88 93 113 198 674 897 2573     26  1111   0     36.60 sec
 24 : ... 391 263 212 166 126 149 151 145 84 90 70 71 88 190 504 3317    17  1111   0     37.81 sec
 25 : ... 261 210 162 124 147 149 140 75 73 61 60 59 69 270 650 3099      4  1111   0     38.76 sec
 26 : ... 182 204 213 221 165 185 201 185 205 174 396 807 874 2877       73  1111   0     47.21 sec
 27 : ... 136 157 182 171 98 107 137 134 142 114 103 114 187 533 3652     0  1111   0     48.53 sec
 28 : ... 182 171 98 107 136 134 141 115 111 137 221 579 1005 2995       23  1111   0     50.98 sec
 29 : ... 182 171 98 107 136 134 140 112 101 98 106 107 168 630 3554      4  1111   0     52.22 sec
 30 : ... 171 98 110 138 136 143 117 107 104 120 134 194 656 563 3202    26  1111   0     54.55 sec
 31 : ... 98 106 135 131 139 110 101 89 91 110 91 109 321 419 3628        6  1111   0     55.92 sec
 32 : ... 98 106 135 131 139 110 101 89 92 110 92 92 136 216 565 3452    19  1111   0     57.28 sec
 33 : ... 135 131 139 110 103 91 96 113 94 80 82 168 504 1081 2833       16  1111   0     59.37 sec
 34 : ... 132 127 135 107 105 87 88 106 86 75 71 104 105 265 530 3467    15  1111   0     60.98 sec
 35 : ... 132 127 133 105 98 88 87 108 83 70 58 67 58 55 224 438 3642    17  1111   0     62.18 sec
 36 : ... 355 361 360 409 417 386 393 403 377 354 417 633 953 3562      108  1111   0     94.98 sec
 37 : ... 162 169 205 176 139 172 169 171 212 173 232 658 449 4047       10  1111   0     97.99 sec
 38 : ... 168 205 174 137 171 165 169 200 162 153 226 236 661 3967        0  1111   0     99.70 sec
 39 : ... 224 183 141 181 172 173 211 172 164 237 258 706 1400 2692      38  1111   0    103.73 sec
 40 : ... 255 209 259 248 246 268 222 222 257 229 353 910 757 3514      117  1111   0    116.25 sec
 41 : ... 165 202 195 220 239 185 209 217 174 161 158 203 419 4418        0  1111   0    118.75 sec
 42 : ... 283 258 298 317 282 292 299 259 226 222 269 502 781 3846      112  1111   0    128.27 sec
 43 : ... 169 181 212 183 184 192 169 170 141 140 109 236 765 3996        0  1111   0    130.51 sec
 44 : ... 362 410 392 404 419 394 393 364 346 312 438 981 1188 3425     167  1111   0    164.03 sec
 45 : ... 182 146 179 156 160 179 161 181 129 175 224 366 1534 4006      31  1111   0    169.50 sec
 46 : ... 142 170 147 141 164 151 175 123 147 165 142 116 394 5349        0  1111   0    171.79 sec
 47 : ... 171 150 141 163 152 175 121 147 164 142 114 389 390 4961        0  1111   0    173.72 sec
 48 : ... 162 149 178 160 178 124 151 167 151 129 409 413 649 4413       76  1111   0    177.10 sec
 49 : ... 121 149 138 172 123 151 178 135 115 162 212 322 1182 3981       9  1111   0    179.67 sec
 50 : ... 121 149 138 172 121 151 178 119 104 141 125 92 228 859 4410     0  1111   0    181.79 sec
 51 : ... 149 138 172 121 151 178 119 104 141 127 93 237 885 534 4082    10  1111   0    184.33 sec
 52 : ... 138 172 121 151 178 119 104 140 125 88 76 124 189 467 4704      0  1111   0    186.42 sec
 53 : ... 172 121 151 178 119 104 140 125 88 78 133 202 489 1197 3614    12  1111   0    188.83 sec
 54 : ... 121 151 172 115 103 139 122 86 75 104 132 190 768 1313 3319    18  1111   0    191.85 sec
 55 : ... 204 146 132 164 152 111 102 126 138 130 157 413 452 4557      101  1111   0    199.69 sec
 56 : ... 135 178 136 117 137 107 88 68 86 83 92 111 103 181 499 4776     4  1111   0    202.34 sec
 57 : ... 201 205 209 189 175 156 170 168 186 166 248 558 881 4216       87  1111   0    217.17 sec
 58 : ... 214 179 132 115 120 132 118 131 110 114 136 293 762 4584        7  1111   0    220.40 sec
 59 : ... 184 138 127 129 146 135 150 117 117 134 259 633 1137 3919      57  1111   0    225.07 sec
 60 : ... 175 123 108 118 130 109 123 118 97 85 98 119 221 840 4552       0  1111   0    227.68 sec
 61 : ... 314 308 354 371 383 419 453 416 355 403 487 1137 1026 4441    122  1111   0    281.77 sec
 62 : ... 126 140 129 165 135 125 97 122 145 140 210 151 144 246 6379     0  1111   0    289.26 sec
 63 : ... 140 129 165 135 125 96 121 145 140 210 150 143 244 614 5761     0  1111   0    292.06 sec
 64 : ... 295 263 255 228 224 252 250 319 255 248 367 741 897 5221      142  1111   0    317.90 sec
 65 : ... 152 152 162 144 172 164 253 196 170 223 266 639 1911 4239     106  1111   0    324.70 sec
 66 : ... 203 197 188 198 184 259 213 196 226 216 373 536 730 5520       75  1111   0    336.98 sec
 67 : ... 185 165 173 170 247 191 156 180 165 206 263 383 1314 4981       7  1111   0    340.99 sec
 68 : ... 165 173 170 247 191 156 180 163 189 237 314 1189 726 4620      11  1111   0    344.41 sec
 69 : ... 355 374 452 405 367 402 394 441 477 482 813 759 1048 5091     150  1111   0    404.35 sec
 70 : ... 151 213 201 218 230 166 202 211 262 298 271 572 2160 4436      14  1111   0    413.90 sec
 71 : ... 212 203 223 240 172 198 221 268 282 221 294 833 875 5468       39  1111   0    419.27 sec
 72 : ... 195 183 219 155 186 208 231 218 183 210 206 264 498 6267        0  1111   0    422.99 sec
 73 : ... 379 400 319 340 385 392 396 369 394 381 442 675 661 6041      145  1111   0    459.49 sec
 74 : ... 224 165 179 190 195 240 184 187 171 173 238 220 505 6527        6  1111   0    466.31 sec
 75 : ... 216 243 247 259 305 256 264 245 251 311 284 546 2311 4436     110  1111   0    487.65 sec
 76 : ... 151 165 173 218 164 174 162 154 199 144 206 1112 1176 5528     13  1111   0    494.58 sec
 77 : ... 218 223 281 211 231 214 207 261 209 177 302 509 607 6655      161  1111   0    518.99 sec
 78 : ... 161 160 215 168 178 177 123 206 126 128 124 96 88 292 7462      0  1111   0    524.21 sec
 79 : ... 161 216 168 178 177 123 206 126 128 124 97 89 305 1315 6200    17  1111   0    528.06 sec
 80 : ... 199 216 214 159 245 167 157 158 119 117 250 617 708 6480      159  1111   0    560.24 sec
 81 : ... 169 162 135 206 155 149 123 110 119 117 260 222 1372 6134       0  1111   0    567.24 sec
 82 : ... 162 135 206 154 149 123 111 120 122 265 234 1414 967 5400      20  1111   0    571.94 sec
 83 : ... 142 210 156 150 126 109 116 118 260 100 122 270 579 6857       45  1111   0    577.61 sec
 84 : ... 321 260 270 224 208 210 222 366 213 220 398 685 821 6513      159  1111   0    617.27 sec
 85 : ... 141 218 125 136 89 59 110 74 72 62 52 44 72 140 1112 6679       0  1111   0    624.08 sec
 86 : ... 261 206 191 239 192 203 195 187 161 202 301 1260 1188 5912    152  1111   0    672.09 sec
 87 : ... 153 167 194 147 151 131 110 111 235 119 136 111 260 8234        0  1111   0    683.98 sec
 88 : ... 166 193 147 150 130 110 109 235 118 134 111 259 450 7784        0  1111   0    687.82 sec
 89 : ... 241 189 193 170 153 155 289 172 190 181 309 485 694 7293      135  1111   0    703.04 sec
 90 : ... 134 137 123 115 155 259 137 140 125 136 148 213 1102 7155       0  1111   0    708.81 sec
 91 : ... 152 144 139 179 281 159 162 147 157 177 250 1147 1170 6196    110  1111   0    725.69 sec
 92 : ... 159 130 123 154 259 129 126 146 148 141 88 98 154 404 7979      5  1111   0    732.92 sec
 93 : ... 130 120 154 259 129 126 146 148 141 88 88 154 374 559 7442      0  1111   0    736.60 sec
 94 : ... 195 297 166 168 189 184 184 129 127 196 426 630 1368 6384     165  1111   0    766.67 sec
 95 : ... 107 219 117 135 123 152 113 104 93 132 151 114 136 140 8165     0  1111   0    775.05 sec
 96 : ... 219 117 135 123 152 113 104 93 132 151 114 138 142 970 7205     4  1111   0    778.84 sec
 97 : ... 327 305 350 315 299 302 326 353 319 325 322 1149 1366 6372    182  1111   0    887.80 sec
 98 : ... 33 9 9 8 35 30 22 5 16 29 76 22 19 33 28 9 15 31 31 43 8530     7  1111   0    905.08 sec
 99 : ... 9 9 8 35 30 22 5 16 29 76 22 19 32 23 6 14 29 27 17 46 8521     9  1111   0    907.29 sec
100 : ... 8 35 30 22 5 16 29 76 22 19 32 22 6 14 29 26 14 15 38 8525      5  1111   0    909.36 sec
101 : ... 35 30 22 5 16 29 76 22 19 32 22 6 14 29 26 10 10 11 7 8538      0  1111   0    911.20 sec
102 : ... 30 22 5 16 29 76 22 19 32 22 6 14 29 26 10 10 11 7 31 8507      0  1111   0    913.01 sec
103 : ... 22 5 16 29 76 22 19 32 22 6 14 29 26 10 10 11 7 33 73 8448      3  1111   0    914.95 sec
104 : ... 5 16 29 76 22 19 32 22 6 14 29 26 10 10 11 7 22 28 16 8476      0  1111   0    916.74 sec
105 : ... 16 29 76 22 19 32 22 6 14 29 26 10 10 11 7 22 28 18 36 8449     5  1111   0    918.59 sec
106 : ... 29 76 22 19 32 22 6 14 29 26 10 10 11 7 22 30 14 14 46 8440     4  1111   0    920.48 sec
