File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -i -t"
PDR Parameters: -r -y -i -t
Parameter Set: 20 of 32
Started at: Sat 14 Jun 2025 08:54:33 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -i -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 110      0.19 sec
  2 : 0 207 401                                                           5   415 106      1.21 sec
  3 : 0 18 45 456                                                         5   491  42      1.67 sec
  4 : 0 15 44 126 399                                                     5   500   7      1.76 sec
  5 : 0 10 2 37 80 572                                                    6   639  73      2.50 sec
  6 : 0 12 2 37 8 164 617                                                 9   685  12      3.00 sec
  7 : 0 17 3 39 9 170 229 897                                            10   934 131      5.10 sec
  8 : 0 17 3 39 9 170 229 123 1087                                        9   937   2      5.65 sec
  9 : 0 26 8 41 12 170 72 34 526 786                                     11  1016  37      8.03 sec
 10 : 0 14 2 37 9 156 72 34 343 414 1132                                 16  1048  34     10.90 sec
 11 : 0 14 2 37 9 157 73 36 309 414 662 950                              29  1092  22     14.50 sec
 12 : 0 11 1 36 8 157 73 32 302 391 222 147 1154                         14  1092   0     15.60 sec
 13 : 0 11 1 36 8 158 73 32 303 422 286 160 497 1246                     34  1202  57     18.54 sec
 14 : 0 11 1 36 8 158 73 32 303 430 195 88 159 213 1397                  21  1215   6     19.91 sec
 15 : 0 14 7 40 15 166 78 36 307 459 250 158 237 169 422 1269            49  1245   8     22.19 sec
 16 : 0 14 7 40 15 166 78 36 307 461 251 158 237 174 239 247 1323        23  1251   3     23.54 sec
 17 : ... 7 40 15 166 78 36 307 462 252 158 241 145 137 106 211 1269     24  1255   3     24.62 sec
 18 : ... 40 15 166 78 36 307 462 252 158 241 141 133 26 22 191 1304      0  1255   0     26.03 sec
 19 : ... 15 166 78 36 307 481 266 174 274 176 168 48 54 220 429 1446    62  1264   6     28.35 sec
 20 : ... 77 35 303 418 224 101 187 167 184 134 117 46 112 281 1455      48  1272   5     30.40 sec
 21 : ... 35 303 453 246 120 215 218 219 172 132 50 100 92 478 1323      41  1306  12     32.33 sec
 22 : ... 304 440 251 122 243 197 236 164 140 48 106 99 289 511 1396     59  1321   5     35.15 sec
 23 : ... 452 264 143 272 249 282 219 198 88 121 109 54 159 353 1459    100  1330   7     38.18 sec
 24 : ... 280 165 289 293 335 250 203 91 124 109 54 167 106 191 1606     76  1338   5     46.44 sec
 25 : ... 165 289 298 336 254 203 91 124 109 36 140 62 86 376 1493       37  1338   0     47.32 sec
