File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -n -t -k"
PDR Parameters: -y -n -t -k
Parameter Set: 31 of 32
Started at: Sat 14 Jun 2025 09:12:09 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -n -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 104      0.09 sec
  2 : 0 196 408                                                           5   421 103      0.82 sec
  3 : 0 21 76 444                                                         5   499  43      1.12 sec
  4 : 0 15 34 122 405                                                     5   506   6      1.17 sec
  5 : 0 10 2 29 78 579                                                    6   640  72      1.62 sec
  6 : 0 8 1 28 7 163 610                                                  7   683  10      2.07 sec
  7 : 0 11 1 28 7 156 266 840                                            10   921 123      3.72 sec
  8 : 0 9 1 28 7 156 69 64 1048                                           9   924   2      4.08 sec
  9 : 0 14 5 34 9 156 69 30 510 746                                      12  1006  16      4.71 sec
 10 : 0 11 1 28 8 156 71 26 332 391 1138                                 15  1047  29      7.22 sec
 11 : 0 11 1 28 8 157 70 24 306 417 686 890                              30  1085  23      9.77 sec
 12 : 0 11 1 28 8 157 70 20 298 392 224 137 1123                         17  1086   1     12.43 sec
 13 : 0 12 2 29 10 158 70 21 301 404 241 145 446 1266                    26  1201  57     15.32 sec
 14 : 0 11 1 28 7 157 70 21 299 405 175 54 246 307 1289                  21  1213   4     16.24 sec
 15 : 0 14 6 33 17 166 79 27 303 414 192 70 254 247 554 1287             31  1233   4     17.99 sec
 16 : 0 13 3 30 9 159 72 23 301 409 187 63 103 71 222 262 1286           18  1239   3     19.30 sec
 17 : ... 13 3 30 9 159 72 23 301 435 231 102 147 93 225 215 299 1354    54  1244   3     21.42 sec
 18 : ... 3 30 9 159 72 23 301 421 214 99 144 94 125 100 88 314 1259     17  1244   0     22.18 sec
 19 : ... 9 159 72 23 301 430 227 113 164 123 161 110 85 289 561 1307    65  1256   7     24.47 sec
 20 : ... 72 23 299 433 229 128 206 171 171 112 74 38 198 553 1452       41  1269   8     26.56 sec
 21 : ... 30 309 485 304 173 291 261 233 126 83 44 200 281 709 1467      79  1300  12     29.73 sec
 22 : ... 301 463 280 182 276 257 241 126 76 37 194 107 241 627 1442     50  1306   4     31.69 sec
 23 : ... 479 302 207 356 312 290 148 85 40 198 110 193 443 909 1766     71  1326   8     37.35 sec
 24 : ... 297 199 329 310 309 167 89 43 200 100 150 109 341 740 1785     48  1333   4     39.50 sec
 25 : ... 192 329 306 314 163 82 42 197 91 144 99 137 236 418 1821       34  1333   1     40.93 sec
 26 : ... 354 329 341 188 86 46 202 96 154 186 239 358 660 1459 2440    122  1342   6     52.81 sec
 27 : ... 228 390 360 355 210 98 41 115 79 49 76 72 51 58 90 295 2040    53  1353   6     55.73 sec
 28 : ... 393 364 360 216 101 42 114 79 49 76 72 45 45 64 85 558 1765    62  1357   1     57.75 sec
 29 : ... 369 223 101 43 117 88 63 91 91 67 75 100 120 427 558 1938      67  1362   1     61.40 sec
 30 : ... 101 45 130 109 93 117 118 109 112 117 113 188 186 364 2253     52  1363   1     66.66 sec
 31 : ... 101 43 125 101 73 87 93 72 87 75 83 152 114 160 345 2177       10  1363   0     68.36 sec
 32 : ... 43 125 101 73 89 97 73 93 88 98 167 122 163 345 497 2149       59  1365   2     71.12 sec
 33 : ... 125 101 73 87 93 71 88 71 81 140 106 132 144 178 339 2228      11  1365   0     72.88 sec
 34 : ... 122 88 97 101 77 106 92 85 147 124 144 166 159 198 409 2225   169  1366   1     78.78 sec
 35 : ... 78 86 91 64 78 73 70 135 106 115 131 119 131 332 513 2276      32  1366   0     82.17 sec
 36 : ... 77 86 89 63 78 72 68 127 100 104 119 84 47 54 150 305 2382     18  1366   0     84.38 sec
