File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -f -i -n -t -k"
PDR Parameters: -y -f -i -n -t -k
Parameter Set: 24 of 32
Started at: Sat 14 Jun 2025 08:55:21 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -f -i -n -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 104      0.09 sec
  2 : 0 168 418                                                           6   412 105      0.86 sec
  3 : 0 23 80 443                                                         5   494  42      1.17 sec
  4 : 0 15 37 121 410                                                     5   506   5      1.22 sec
  5 : 0 8 1 32 77 577                                                     6   642  70      1.66 sec
  6 : 0 7 1 32 7 166 620                                                  7   690  11      2.19 sec
  7 : 0 12 1 32 7 169 339 897                                            11   934 128      4.13 sec
  8 : 0 10 1 32 7 154 69 84 1047                                          9   937   2      4.80 sec
  9 : 0 19 5 39 15 156 71 58 503 838                                     18  1025  39      5.75 sec
 10 : 0 14 3 32 7 154 70 26 280 870 1267                                 16  1054  21      8.59 sec
 11 : 0 11 3 32 7 156 71 30 308 677 877 1037                             18  1105  17     11.70 sec
 12 : 0 11 3 32 7 156 71 24 302 476 508 232 1244                          4  1105   0     12.96 sec
 13 : 0 14 6 35 7 156 71 24 306 483 528 221 489 1286                     19  1213  53     18.84 sec
 14 : 0 14 6 35 7 156 71 24 306 484 444 120 259 361 1281                 19  1219   5     19.92 sec
 15 : 0 19 13 49 21 171 84 41 323 512 466 142 270 230 486 1316           40  1245   8     21.67 sec
 16 : 0 11 3 34 9 158 72 26 306 491 454 127 202 66 205 354 1333          19  1253   3     22.84 sec
 17 : ... 3 34 9 158 72 26 306 494 463 133 218 109 131 123 310 1353      53  1258   3     24.18 sec
 18 : ... 34 9 158 72 26 305 490 456 130 219 96 129 108 110 297 1246      5  1258   0     25.11 sec
 19 : ... 158 72 26 305 492 456 130 223 115 150 120 110 284 528 1277     45  1268   5     27.67 sec
 20 : ... 72 26 305 493 457 131 230 147 172 140 108 109 214 403 1355     44  1274   5     29.31 sec
 21 : ... 26 305 505 470 143 256 193 188 123 112 31 108 94 451 1328      42  1311  19     30.91 sec
 22 : ... 305 491 473 141 267 190 223 145 130 48 121 110 279 501 1431    58  1320   5     33.75 sec
 23 : ... 495 473 143 276 216 242 180 158 77 145 136 292 157 594 1387    90  1328   4     36.85 sec
 24 : ... 476 152 287 246 276 216 167 78 129 107 67 127 167 411 1498     77  1335   4     39.12 sec
 25 : ... 156 295 263 289 222 173 86 136 112 74 128 149 314 395 1666     68  1335   2     41.41 sec
 26 : ... 315 310 323 269 220 95 139 118 85 130 97 85 137 481 1503       60  1343   5     44.77 sec
 27 : ... 353 382 343 269 117 146 124 89 135 108 103 135 396 669 1581    90  1356   6     50.09 sec
 28 : ... 347 269 260 115 162 144 97 106 81 66 92 100 124 368 1874       66  1364   2     53.64 sec
 29 : ... 347 269 260 115 162 144 97 106 81 54 70 56 33 119 382 1922      5  1364   0     55.13 sec
 30 : ... 269 260 115 162 144 97 106 81 55 71 57 35 120 275 373 1958     16  1364   0     57.60 sec
 31 : ... 198 180 141 162 137 129 156 156 129 178 136 226 625 2118      171  1366   1     64.62 sec
 32 : ... 132 174 142 92 107 100 80 85 93 68 129 89 131 191 408 2123      9  1366   0     66.73 sec
 33 : ... 174 142 92 107 100 80 85 95 70 136 94 138 189 371 454 2033     22  1366   0     68.64 sec
 34 : ... 142 92 107 100 80 85 94 67 130 89 134 181 163 164 414 2121     15  1366   0     70.68 sec
 35 : ... 93 107 100 80 85 94 67 130 91 136 174 101 98 323 453 2080      53  1368   1     72.90 sec
 36 : ... 93 107 100 80 85 94 66 126 87 133 173 96 78 93 88 100 2311     12  1368   0     74.27 sec
 37 : ... 107 100 80 85 94 66 126 87 133 173 94 78 90 94 124 435 2015    22  1368   0     75.61 sec
 38 : ... 100 80 85 94 66 126 87 133 173 90 70 76 66 74 283 390 2053     12  1368   0     77.44 sec
 39 : ... 100 80 85 94 66 126 87 133 173 90 71 68 58 49 45 39 62 2393    17  1368   0     78.40 sec
 40 : ... 80 85 94 66 126 87 134 174 95 64 60 62 54 54 62 76 298 2149    31  1368   0     79.40 sec
 41 : ... 94 66 126 87 126 168 71 52 43 46 38 45 50 71 266 402 2138      11  1368   0     81.26 sec
 42 : ... 99 140 219 176 172 179 182 161 185 181 185 187 185 326 2569    98  1368   0     91.78 sec
 43 : ... 133 163 147 121 133 109 104 101 124 122 97 84 105 199 2840    136  1370   1     96.59 sec
 44 : ... 87 133 163 147 121 98 81 79 78 89 101 89 69 49 58 130 2868      5  1370   0     98.27 sec
 45 : ... 133 163 147 121 98 81 79 78 89 101 89 69 46 40 60 268 2641      0  1370   0     98.77 sec
 46 : ... 156 134 128 113 126 146 163 145 148 130 87 78 278 461 2605    157  1370   0    107.63 sec
 47 : ... 120 104 110 114 136 169 188 187 180 178 153 97 202 395 2664   207  1370   1    115.21 sec
 48 : ... 104 110 114 136 169 188 187 180 178 153 97 202 257 487 2582    68  1370   0    116.70 sec
 49 : ... 297 308 317 330 361 367 353 303 215 428 271 475 935 2662      402  1370   0    150.82 sec
 50 : ... 148 150 159 214 237 198 194 199 130 86 40 111 56 121 3332       0  1370   0    152.98 sec
 51 : ... 201 302 358 335 332 328 280 242 195 250 121 144 503 3106      209  1372   1    167.32 sec
 52 : ... 316 373 354 355 350 304 266 163 238 143 143 391 675 3264       59  1372   0    173.28 sec
 53 : ... 220 239 208 199 221 184 191 170 220 138 88 93 241 467 3368     11  1372   0    176.50 sec
 54 : ... 220 239 208 199 221 184 191 170 220 137 85 43 33 19 51 3864     0  1372   0    177.99 sec
 55 : ... 253 221 214 233 198 204 188 236 155 97 59 47 36 70 224 3711    90  1372   0    183.44 sec
