case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,multi_mic_vs_baseline_ratio,multi_mic_vs_dynamic_ratio
neclabakery001,0.0,0.28,0.28,0.21,0.39,0.55,0.22,0.45,0.0,0.26,inf,inf,1.0,1.3333333333333335,1.3333333333333335,0.717948717948718,0.5090909090909091,0.717948717948718,0.5090909090909091,1.272727272727273,0.6222222222222222,0.6222222222222222,inf,inf
fastfir-p085,0.05,4.32,7.66,5.6,4.28,14.95,4.61,5.51,5.55,6.61,86.4,153.2,0.5639686684073107,0.7714285714285716,1.3678571428571429,1.0093457943925235,0.28896321070234116,1.7897196261682242,0.5123745819397993,0.9370932754880694,0.7840290381125228,1.3901996370235936,0.7783783783783784,1.3801801801801803
pdtswvsam6x8p2,0.01,0.03,0.03,0.09,0.03,0.28,0.03,0.03,0.01,0.04,3.0,3.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.10714285714285712,1.0,0.10714285714285712,1.0,1.0,1.0,3.0,3.0
6s100,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,86.45,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.64256795835743,41.64256795835743
power2eq65536,0.0,11.37,10.98,14.24,11.01,11.66,13.48,11.41,0.02,23.59,inf,inf,1.03551912568306,0.7984550561797752,0.7710674157303371,1.0326975476839237,0.9751286449399656,0.9972752043596731,0.9416809605488851,0.8434718100890207,0.9964943032427694,0.9623137598597722,568.5,549.0
beemmsmie1f1,0.0,1.39,1.4,0.6,0.48,4.96,0.51,0.49,0.11,0.4,inf,inf,0.9928571428571429,2.3166666666666664,2.3333333333333335,2.895833333333333,0.28024193548387094,2.9166666666666665,0.282258064516129,2.725490196078431,2.836734693877551,2.857142857142857,12.636363636363635,12.727272727272727
6s284rb1,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2993.55,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2025855589517462,1.2025855589517462
neclatcas1a001,3600.0,0.5,0.6,0.75,0.44,0.76,0.49,0.44,0.15,3.4,0.0001388888888888889,0.00016666666666666666,0.8333333333333334,0.6666666666666666,0.7999999999999999,1.1363636363636365,0.6578947368421053,1.3636363636363635,0.7894736842105263,1.0204081632653061,1.1363636363636365,1.3636363636363635,3.3333333333333335,4.0
texasparsesysp3,0.01,0.0,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,,,inf,inf,,,inf,,inf
pdtswvrod6x8p2,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.02,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180000.0,180000.0
zipcpu-busdelay-p42,0.0,0.08,0.08,0.13,0.08,0.03,0.07,0.09,0.01,0.06,inf,inf,1.0,0.6153846153846154,0.6153846153846154,1.0,2.666666666666667,1.0,2.666666666666667,1.1428571428571428,0.888888888888889,0.888888888888889,8.0,8.0
