File: ./hwmcc13/single/oski1rub01.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc13/single/oski1rub01.aig
Started at: Thu 17 Apr 2025 11:19:11 PM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc13/single/oski1rub01.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
Warning: property not found, moved 1 outputs to bad properties
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
11446 11.00       
11447 0.00        
11448 19.00       
11449 10.00       
11450 0.00        
11451 0.00        
11452 0.00        
11453 9.00        
11454 0.00        
11455 4.00        
11456 7.00        
11457 49.00       
11458 95.00       
11459 95.00       
11460 96.00       
11461 96.00       
11462 95.00       
11463 95.00       
11464 95.00       
11465 95.00       
11466 95.00       
11467 95.00       
11468 99.00       
11469 99.00       
11470 99.00       
11471 99.00       
11472 99.00       
11473 12.00       
11474 87.00       
11475 98.00       
11476 26.00       
11477 86.00       
11478 36.00       
11479 86.00       
11480 13.00       
11481 19.00       
11482 12.00       
11483 18.00       
11484 13.00       
11485 19.00       
11486 13.00       
11487 19.00       
11488 11.00       
11489 17.00       
11490 11.00       
11491 17.00       
11492 12.00       
11493 19.00       
11494 12.00       
11495 20.00       
11496 0.00        
11497 19.00       
11498 99.00       
11499 25.00       
11500 24.00       
11501 24.00       
11502 25.00       
11503 23.00       
11504 23.00       
11505 24.00       
11506 24.00       
11507 99.00       
11508 61.00       
11509 0.00        
11510 1.00        
11511 3.00        
11512 0.00        
11513 1.00        
11514 0.00        
11515 0.00        
11516 61.00       
11517 50.00       
11518 58.00       
11519 59.00       
11520 38.00       
11521 59.00       
11522 58.00       
11523 35.00       
11524 24.00       
11525 51.00       
11526 50.00       
11527 54.00       
11528 43.00       
11529 57.00       
11530 40.00       
11531 55.00       
11532 42.00       
11533 56.00       
11534 39.00       
11535 56.00       
11536 39.00       
11537 55.00       
11538 42.00       
11539 56.00       
11540 40.00       
11541 55.00       
11542 47.00       
11543 99.00       
11544 0.00        
11545 0.00        
11546 97.00       
11547 98.00       
11548 3.00        
11549 2.00        
11550 0.00        
11551 1.00        
11552 3.00        
11553 3.00        
11554 1.00        
11555 3.00        
11556 6.00        
11557 1.00        
11558 3.00        
11559 5.00        
11560 1.00        
11561 3.00        
11562 3.00        
11563 1.00        
11564 3.00        
11565 6.00        
11566 2.00        
11567 59.00       
11568 40.00       
11569 58.00       
11570 59.00       
11571 21.00       
11572 50.00       
11573 50.00       
11574 0.00        
11575 0.00        
11576 1.00        
11577 0.00        
11578 19.00       
11579 6.00        
11580 24.00       
11581 10.00       
11582 95.00       
11583 0.00        
11584 50.00       
11585 49.00       
11586 49.00       
11587 95.00       
11588 0.00        
11589 49.00       
11590 50.00       
11591 49.00       
11592 95.00       
11593 0.00        
11594 49.00       
11595 50.00       
11596 50.00       
11597 95.00       
11598 0.00        
11599 50.00       
11600 49.00       
11601 49.00       
11602 95.00       
11603 0.00        
11604 50.00       
11605 49.00       
11606 50.00       
11607 39.00       
11608 94.00       
11609 78.00       
11610 77.00       
11611 38.00       
11612 24.00       
11613 50.00       
11614 49.00       
11615 0.00        
11616 51.00       
11617 51.00       
11618 1.00        
11619 2.00        
11620 0.00        
11621 0.00        
11622 19.00       
11623 40.00       
11624 78.00       
11625 38.00       
11626 58.00       
11627 49.00       
11628 50.00       
11629 0.00        
11630 98.00       
11631 0.00        
11632 0.00        
11633 1.00        
11634 0.00        
11635 48.00       
11636 50.00       
11637 50.00       
11638 51.00       
11639 49.00       
11640 49.00       
11641 50.00       
11642 50.00       
11643 49.00       
11644 50.00       
11645 49.00       
11646 49.00       
11647 48.00       
11648 50.00       
11649 50.00       
11650 58.00       
11651 20.00       
11652 1.00        
11653 78.00       
11654 37.00       
11655 51.00       
11656 48.00       
11657 49.00       
11658 10.00       
11659 0.00        
11660 0.00        
11661 0.00        
11662 0.00        
11663 0.00        
11664 0.00        
11665 0.00        
11666 99.00       
11667 0.00        
11668 0.00        
11669 97.00       
11670 0.00        
11671 0.00        
11672 59.00       
11673 0.00        
11674 0.00        
11675 40.00       
11676 0.00        
11677 0.00        
11678 40.00       
11679 0.00        
11680 0.00        
11681 41.00       
11682 49.00       
11683 0.00        
11684 0.00        
11685 0.00        
11686 92.00       
11687 0.00        
11688 98.00       
11689 0.00        
11690 0.00        
11691 0.00        
11692 0.00        
11693 1.00        
11694 92.00       
11695 48.00       
11696 49.00       
11697 49.00       
11698 89.00       
11699 50.00       
11700 50.00       
11701 49.00       
11702 92.00       
11703 49.00       
11704 49.00       
11705 49.00       
11706 50.00       
11707 51.00       
11708 49.00       
11709 88.00       
11710 49.00       
11711 50.00       
11712 49.00       
11713 49.00       
11714 98.00       
11715 98.00       
11716 49.00       
11717 1.00        
11718 61.00       
11719 99.00       
11720 50.00       
11721 98.00       
11722 98.00       
11723 50.00       
11724 1.00        
11725 59.00       
11726 99.00       
11727 50.00       
11728 97.00       
11729 98.00       
11730 50.00       
11731 1.00        
11732 20.00       
11733 99.00       
11734 51.00       
11735 97.00       
11736 98.00       
11737 51.00       
11738 1.00        
11739 39.00       
11740 49.00       
11741 97.00       
11742 97.00       
11743 49.00       
11744 1.00        
11745 39.00       
11746 0.00        
11747 0.00        
