File: ./hwmcc24/2024/sosylab/combinations/Problem05_label46+token_ring.12.cil-1.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc24/2024/sosylab/combinations/Problem05_label46+token_ring.12.cil-1.aig
Started at: Fri 18 Apr 2025 11:13:20 AM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc24/2024/sosylab/combinations/Problem05_label46+token_ring.12.cil-1.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
22917 0.00        
22918 100.00      
22919 51.00       
22920 50.00       
22921 50.00       
22922 48.00       
22923 51.00       
22924 50.00       
22925 50.00       
22926 48.00       
22927 50.00       
22928 48.00       
22929 50.00       
22930 48.00       
22931 50.00       
22932 49.00       
22933 48.00       
22934 50.00       
22935 49.00       
22936 50.00       
22937 50.00       
22938 49.00       
22939 50.00       
22940 50.00       
22941 49.00       
22942 50.00       
22943 49.00       
22944 50.00       
22945 50.00       
22946 49.00       
22947 49.00       
22948 51.00       
22949 49.00       
22950 49.00       
22951 48.00       
22952 51.00       
22953 50.00       
22954 51.00       
22955 50.00       
22956 49.00       
22957 49.00       
22958 49.00       
22959 50.00       
22960 50.00       
22961 49.00       
22962 50.00       
22963 49.00       
22964 49.00       
22965 50.00       
22966 48.00       
22967 50.00       
22968 50.00       
22969 51.00       
22970 49.00       
22971 50.00       
22972 48.00       
22973 49.00       
22974 49.00       
22975 50.00       
22976 51.00       
22977 49.00       
22978 49.00       
22979 50.00       
22980 50.00       
22981 49.00       
22982 49.00       
22983 49.00       
22984 49.00       
22985 50.00       
22986 48.00       
22987 49.00       
22988 50.00       
22989 50.00       
22990 48.00       
22991 49.00       
22992 50.00       
22993 50.00       
22994 50.00       
22995 49.00       
22996 48.00       
22997 49.00       
22998 50.00       
22999 49.00       
23000 51.00       
23001 49.00       
23002 51.00       
23003 51.00       
23004 48.00       
23005 50.00       
23006 51.00       
23007 48.00       
23008 50.00       
23009 50.00       
23010 48.00       
23011 50.00       
23012 50.00       
23013 49.00       
23014 48.00       
23015 49.00       
23016 49.00       
23017 50.00       
23018 50.00       
23019 50.00       
23020 49.00       
23021 48.00       
23022 50.00       
23023 50.00       
23024 50.00       
23025 50.00       
23026 48.00       
23027 49.00       
23028 48.00       
23029 50.00       
23030 50.00       
23031 50.00       
23032 49.00       
23033 50.00       
23034 50.00       
23035 50.00       
23036 50.00       
23037 49.00       
23038 48.00       
23039 50.00       
23040 49.00       
23041 49.00       
23042 47.00       
23043 50.00       
23044 50.00       
23045 50.00       
23046 50.00       
23047 50.00       
23048 49.00       
23049 49.00       
23050 48.00       
23051 50.00       
23052 50.00       
23053 50.00       
23054 48.00       
23055 51.00       
23056 49.00       
23057 48.00       
23058 49.00       
23059 47.00       
23060 51.00       
23061 49.00       
23062 51.00       
23063 51.00       
23064 49.00       
23065 49.00       
23066 50.00       
23067 50.00       
23068 49.00       
23069 49.00       
23070 49.00       
23071 51.00       
23072 49.00       
23073 50.00       
23074 48.00       
23075 48.00       
23076 50.00       
23077 48.00       
23078 51.00       
23079 51.00       
23080 51.00       
23081 49.00       
23082 49.00       
23083 49.00       
23084 48.00       
23085 50.00       
23086 50.00       
23087 48.00       
23088 49.00       
23089 50.00       
23090 49.00       
23091 49.00       
23092 51.00       
23093 50.00       
23094 49.00       
23095 50.00       
