File: ./hwmcc24/2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.13.cil-1.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc24/2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.13.cil-1.aig
Started at: Fri 18 Apr 2025 11:14:21 AM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc24/2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.13.cil-1.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
25573 0.00        
25574 100.00      
25575 51.00       
25576 51.00       
25577 50.00       
25578 49.00       
25579 50.00       
25580 51.00       
25581 49.00       
25582 49.00       
25583 50.00       
25584 51.00       
25585 49.00       
25586 49.00       
25587 50.00       
25588 49.00       
25589 50.00       
25590 49.00       
25591 50.00       
25592 49.00       
25593 49.00       
25594 50.00       
25595 49.00       
25596 50.00       
25597 50.00       
25598 49.00       
25599 49.00       
25600 51.00       
25601 51.00       
25602 49.00       
25603 50.00       
25604 49.00       
25605 51.00       
25606 49.00       
25607 49.00       
25608 49.00       
25609 49.00       
25610 50.00       
25611 48.00       
25612 51.00       
25613 49.00       
25614 50.00       
25615 50.00       
25616 49.00       
25617 50.00       
25618 49.00       
25619 50.00       
25620 50.00       
25621 48.00       
25622 49.00       
25623 50.00       
25624 49.00       
25625 49.00       
25626 50.00       
25627 50.00       
25628 49.00       
25629 49.00       
25630 48.00       
25631 51.00       
25632 50.00       
25633 51.00       
25634 49.00       
25635 51.00       
25636 50.00       
25637 50.00       
25638 48.00       
25639 50.00       
25640 49.00       
25641 51.00       
25642 49.00       
25643 50.00       
25644 49.00       
25645 48.00       
25646 50.00       
25647 48.00       
25648 50.00       
25649 51.00       
25650 51.00       
25651 50.00       
25652 48.00       
25653 50.00       
25654 49.00       
25655 48.00       
25656 50.00       
25657 50.00       
25658 49.00       
25659 50.00       
25660 49.00       
25661 50.00       
25662 50.00       
25663 51.00       
25664 49.00       
25665 49.00       
25666 50.00       
25667 49.00       
25668 50.00       
25669 49.00       
