File: ./hwmcc24/2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.11.cil-2.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc24/2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.11.cil-2.aig
Started at: Fri 18 Apr 2025 11:13:24 AM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc24/2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.11.cil-2.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
20677 0.00        
20678 100.00      
20679 50.00       
20680 49.00       
20681 48.00       
20682 50.00       
20683 50.00       
20684 49.00       
20685 49.00       
20686 50.00       
20687 49.00       
20688 51.00       
20689 51.00       
20690 49.00       
20691 49.00       
20692 50.00       
20693 48.00       
20694 49.00       
20695 49.00       
20696 50.00       
20697 49.00       
20698 47.00       
20699 50.00       
20700 48.00       
20701 49.00       
20702 49.00       
20703 49.00       
20704 49.00       
20705 48.00       
20706 50.00       
20707 50.00       
20708 50.00       
20709 49.00       
20710 48.00       
20711 49.00       
20712 50.00       
20713 49.00       
20714 48.00       
20715 51.00       
20716 48.00       
20717 48.00       
20718 50.00       
20719 50.00       
20720 51.00       
20721 50.00       
20722 48.00       
20723 49.00       
20724 50.00       
20725 48.00       
20726 50.00       
20727 49.00       
20728 51.00       
20729 51.00       
20730 49.00       
20731 49.00       
20732 50.00       
20733 49.00       
20734 49.00       
20735 50.00       
20736 49.00       
20737 49.00       
20738 51.00       
20739 51.00       
20740 48.00       
20741 49.00       
20742 48.00       
20743 49.00       
20744 50.00       
20745 50.00       
20746 50.00       
20747 49.00       
20748 50.00       
20749 49.00       
20750 49.00       
20751 50.00       
20752 49.00       
20753 50.00       
20754 50.00       
20755 48.00       
20756 49.00       
20757 49.00       
20758 50.00       
20759 50.00       
20760 49.00       
20761 49.00       
20762 49.00       
20763 48.00       
20764 50.00       
20765 49.00       
20766 50.00       
20767 49.00       
20768 50.00       
20769 49.00       
20770 50.00       
20771 48.00       
20772 48.00       
20773 49.00       
20774 48.00       
20775 50.00       
20776 50.00       
20777 49.00       
20778 51.00       
20779 49.00       
20780 49.00       
20781 49.00       
20782 49.00       
20783 49.00       
20784 49.00       
20785 47.00       
20786 51.00       
20787 50.00       
20788 48.00       
20789 49.00       
20790 50.00       
20791 51.00       
20792 50.00       
20793 50.00       
20794 50.00       
20795 49.00       
20796 49.00       
20797 48.00       
20798 48.00       
20799 50.00       
20800 51.00       
20801 50.00       
20802 49.00       
20803 50.00       
20804 50.00       
20805 50.00       
20806 49.00       
20807 50.00       
20808 51.00       
20809 51.00       
20810 49.00       
20811 51.00       
20812 49.00       
20813 50.00       
20814 50.00       
20815 49.00       
20816 49.00       
20817 50.00       
20818 50.00       
20819 50.00       
20820 51.00       
20821 50.00       
20822 50.00       
20823 49.00       
20824 49.00       
20825 48.00       
20826 49.00       
20827 50.00       
20828 49.00       
20829 51.00       
20830 50.00       
20831 51.00       
20832 48.00       
20833 48.00       
20834 50.00       
20835 51.00       
20836 50.00       
20837 49.00       
20838 50.00       
20839 49.00       
20840 50.00       
20841 51.00       
20842 49.00       
20843 51.00       
20844 50.00       
20845 51.00       
20846 48.00       
20847 49.00       
20848 49.00       
20849 50.00       
20850 49.00       
20851 49.00       
20852 50.00       
20853 49.00       
20854 51.00       
20855 51.00       
20856 49.00       
20857 50.00       
20858 49.00       
20859 48.00       
20860 49.00       
20861 50.00       
20862 49.00       
20863 48.00       
20864 49.00       
20865 49.00       
20866 48.00       
20867 49.00       
20868 50.00       
20869 48.00       
20870 48.00       
20871 51.00       
20872 49.00       
20873 49.00       
20874 49.00       
20875 51.00       
20876 50.00       
20877 50.00       
20878 49.00       
20879 49.00       
20880 49.00       
20881 50.00       
20882 49.00       
20883 48.00       
20884 49.00       
20885 49.00       
20886 49.00       
20887 49.00       
20888 49.00       
20889 48.00       
20890 50.00       
20891 49.00       
20892 49.00       
20893 50.00       
20894 49.00       
20895 51.00       
20896 49.00       
20897 49.00       
20898 49.00       
20899 49.00       
20900 49.00       
20901 50.00       
20902 49.00       
20903 49.00       
20904 49.00       
20905 50.00       
20906 49.00       
20907 48.00       
20908 49.00       
20909 49.00       
20910 49.00       
20911 49.00       
20912 50.00       
20913 50.00       
20914 50.00       
20915 49.00       
20916 50.00       
20917 50.00       
20918 50.00       
20919 48.00       
20920 50.00       
20921 50.00       
20922 49.00       
20923 50.00       
20924 49.00       
20925 50.00       
20926 50.00       
20927 50.00       
20928 51.00       
20929 50.00       
20930 50.00       
20931 49.00       
20932 50.00       
20933 49.00       
20934 50.00       
20935 50.00       
20936 50.00       
20937 49.00       
20938 48.00       
20939 51.00       
20940 50.00       
20941 50.00       
20942 49.00       
20943 50.00       
20944 50.00       
20945 50.00       
20946 48.00       
20947 49.00       
20948 49.00       
20949 52.00       
20950 50.00       
20951 50.00       
20952 49.00       
20953 49.00       
20954 51.00       
20955 49.00       
20956 50.00       
20957 50.00       
20958 50.00       
20959 50.00       
20960 50.00       
20961 49.00       
20962 50.00       
20963 49.00       
20964 48.00       
20965 50.00       
20966 51.00       
20967 48.00       
20968 51.00       
20969 50.00       
20970 49.00       
20971 48.00       
20972 51.00       
20973 50.00       
20974 50.00       
20975 49.00       
20976 50.00       
20977 51.00       
20978 49.00       
20979 50.00       
20980 51.00       
20981 49.00       
20982 50.00       
20983 51.00       
20984 49.00       
20985 49.00       
20986 50.00       
20987 48.00       
20988 48.00       
20989 51.00       
20990 51.00       
20991 49.00       
20992 48.00       
20993 48.00       
20994 49.00       
20995 49.00       
20996 49.00       
20997 49.00       
20998 51.00       
20999 51.00       
21000 49.00       
21001 49.00       
21002 50.00       
21003 50.00       
21004 50.00       
21005 49.00       
21006 50.00       
21007 49.00       
21008 50.00       
21009 48.00       
21010 50.00       
21011 51.00       
21012 48.00       
21013 50.00       
21014 48.00       
21015 48.00       
21016 51.00       
21017 50.00       
21018 50.00       
21019 49.00       
21020 52.00       
21021 49.00       
21022 50.00       
21023 49.00       
21024 48.00       
21025 50.00       
21026 49.00       
21027 50.00       
21028 50.00       
21029 50.00       
21030 48.00       
21031 48.00       
21032 50.00       
21033 49.00       
21034 50.00       
21035 50.00       
21036 50.00       
21037 49.00       
21038 51.00       
21039 48.00       
21040 48.00       
21041 49.00       
21042 50.00       
21043 49.00       
21044 50.00       
21045 50.00       
21046 49.00       
21047 49.00       
21048 49.00       
21049 49.00       
21050 49.00       
21051 50.00       
21052 49.00       
21053 50.00       
21054 48.00       
21055 50.00       
21056 51.00       
21057 49.00       
21058 50.00       
21059 50.00       
21060 49.00       
21061 50.00       
21062 50.00       
21063 50.00       
21064 50.00       
21065 49.00       
21066 50.00       
21067 50.00       
21068 51.00       
21069 49.00       
21070 48.00       
21071 49.00       
21072 52.00       
21073 48.00       
21074 50.00       
21075 49.00       
21076 49.00       
21077 51.00       
21078 49.00       
21079 49.00       
21080 50.00       
21081 49.00       
21082 50.00       
21083 50.00       
21084 50.00       
21085 50.00       
21086 49.00       
21087 49.00       
21088 49.00       
21089 48.00       
21090 49.00       
21091 49.00       
21092 50.00       
21093 50.00       
21094 48.00       
21095 48.00       
21096 50.00       
21097 50.00       
21098 49.00       
21099 50.00       
21100 49.00       
21101 49.00       
21102 50.00       
21103 49.00       
21104 49.00       
21105 49.00       
21106 49.00       
21107 50.00       
21108 50.00       
21109 48.00       
21110 50.00       
21111 50.00       
21112 48.00       
21113 50.00       
21114 49.00       
21115 49.00       
21116 49.00       
21117 49.00       
21118 48.00       
21119 51.00       
21120 49.00       
21121 49.00       
21122 50.00       
21123 50.00       
21124 50.00       
21125 49.00       
21126 49.00       
21127 50.00       
21128 51.00       
21129 50.00       
21130 49.00       
21131 48.00       
21132 48.00       
21133 49.00       
21134 49.00       
21135 49.00       
21136 49.00       
21137 51.00       
21138 51.00       
21139 51.00       
21140 49.00       
21141 49.00       
21142 50.00       
21143 50.00       
21144 50.00       
21145 50.00       
21146 50.00       
21147 49.00       
21148 50.00       
21149 47.00       
21150 49.00       
21151 51.00       
21152 50.00       
21153 49.00       
21154 48.00       
21155 51.00       
21156 50.00       
21157 51.00       
21158 49.00       
21159 48.00       
21160 51.00       
21161 50.00       
21162 49.00       
21163 51.00       
21164 49.00       
21165 50.00       
21166 49.00       
21167 48.00       
21168 51.00       
21169 50.00       
21170 48.00       
21171 49.00       
21172 49.00       
21173 50.00       
21174 48.00       
21175 50.00       
21176 51.00       
21177 49.00       
21178 49.00       
21179 49.00       
21180 50.00       
21181 50.00       
21182 48.00       
21183 50.00       
21184 48.00       
21185 49.00       
21186 49.00       
21187 50.00       
21188 49.00       
21189 49.00       
21190 49.00       
21191 50.00       
21192 48.00       
21193 50.00       
21194 50.00       
21195 49.00       
21196 49.00       
21197 49.00       
21198 50.00       
21199 50.00       
21200 49.00       
21201 48.00       
21202 50.00       
21203 51.00       
21204 49.00       
21205 50.00       
21206 48.00       
21207 49.00       
21208 49.00       
21209 48.00       
21210 49.00       
21211 50.00       
21212 50.00       
21213 49.00       
21214 50.00       
21215 50.00       
21216 50.00       
21217 49.00       
21218 49.00       
21219 51.00       
21220 51.00       
21221 49.00       
21222 51.00       
21223 50.00       
21224 50.00       
21225 50.00       
21226 49.00       
21227 48.00       
21228 51.00       
21229 48.00       
21230 49.00       
21231 50.00       
21232 50.00       
21233 51.00       
21234 50.00       
21235 49.00       
21236 50.00       
21237 49.00       
21238 50.00       
21239 51.00       
21240 49.00       
21241 48.00       
21242 50.00       
21243 50.00       
21244 49.00       
21245 50.00       
21246 51.00       
21247 49.00       
21248 48.00       
21249 50.00       
21250 51.00       
21251 51.00       
21252 49.00       
21253 49.00       
21254 50.00       
21255 50.00       
21256 49.00       
21257 50.00       
21258 49.00       
21259 50.00       
21260 50.00       
21261 50.00       
21262 51.00       
21263 50.00       
21264 50.00       
21265 51.00       
21266 49.00       
21267 50.00       
21268 50.00       
21269 49.00       
21270 49.00       
21271 49.00       
21272 50.00       
21273 48.00       
21274 48.00       
21275 49.00       
21276 51.00       
21277 50.00       
21278 50.00       
21279 50.00       
21280 50.00       
21281 50.00       
21282 50.00       
21283 49.00       
21284 49.00       
21285 50.00       
21286 50.00       
21287 49.00       
21288 49.00       
21289 50.00       
21290 50.00       
21291 51.00       
21292 50.00       
21293 50.00       
21294 49.00       
21295 50.00       
21296 48.00       
21297 49.00       
21298 50.00       
21299 49.00       
21300 50.00       
21301 50.00       
21302 50.00       
21303 48.00       
21304 48.00       
21305 51.00       
21306 49.00       
21307 49.00       
21308 51.00       
21309 49.00       
21310 48.00       
21311 49.00       
21312 48.00       
21313 50.00       
21314 50.00       
21315 50.00       
21316 48.00       
21317 49.00       
21318 50.00       
21319 50.00       
21320 50.00       
21321 49.00       
21322 50.00       
21323 50.00       
21324 50.00       
21325 50.00       
21326 50.00       
21327 49.00       
21328 49.00       
21329 49.00       
21330 50.00       
21331 49.00       
21332 49.00       
21333 50.00       
21334 50.00       
21335 50.00       
21336 49.00       
21337 48.00       
21338 50.00       
21339 51.00       
21340 51.00       
21341 50.00       
21342 50.00       
21343 48.00       
21344 49.00       
21345 50.00       
21346 51.00       
21347 47.00       
21348 50.00       
21349 51.00       
21350 51.00       
21351 48.00       
21352 50.00       
21353 47.00       
21354 50.00       
21355 50.00       
21356 51.00       
21357 50.00       
21358 49.00       
21359 51.00       
21360 48.00       
21361 48.00       
21362 49.00       
21363 48.00       
21364 49.00       
21365 50.00       
21366 49.00       
21367 50.00       
21368 50.00       
21369 50.00       
21370 50.00       
21371 50.00       
21372 48.00       
21373 49.00       
21374 50.00       
21375 49.00       
21376 50.00       
21377 51.00       
21378 49.00       
21379 50.00       
21380 50.00       
21381 50.00       
21382 49.00       
21383 51.00       
21384 51.00       
21385 51.00       
21386 48.00       
21387 50.00       
21388 50.00       
21389 50.00       
21390 51.00       
21391 49.00       
21392 49.00       
21393 51.00       
21394 50.00       
21395 48.00       
21396 50.00       
21397 49.00       
21398 51.00       
21399 50.00       
21400 51.00       
21401 50.00       
21402 48.00       
21403 50.00       
21404 49.00       
21405 50.00       
21406 48.00       
21407 47.00       
21408 49.00       
21409 49.00       
21410 51.00       
21411 49.00       
21412 49.00       
21413 50.00       
21414 51.00       
21415 49.00       
21416 49.00       
21417 52.00       
21418 51.00       
21419 51.00       
21420 49.00       
21421 49.00       
21422 49.00       
21423 49.00       
21424 51.00       
21425 50.00       
21426 50.00       
21427 48.00       
21428 50.00       
21429 51.00       
21430 49.00       
21431 49.00       
21432 50.00       
21433 50.00       
21434 50.00       
21435 47.00       
21436 50.00       
21437 50.00       
21438 48.00       
21439 48.00       
21440 49.00       
21441 50.00       
21442 50.00       
21443 50.00       
21444 50.00       
21445 48.00       
21446 51.00       
21447 48.00       
21448 50.00       
21449 50.00       
21450 49.00       
21451 50.00       
21452 48.00       
21453 48.00       
21454 49.00       
21455 49.00       
21456 50.00       
21457 49.00       
21458 50.00       
21459 51.00       
21460 50.00       
21461 50.00       
21462 49.00       
21463 52.00       
21464 50.00       
21465 52.00       
21466 49.00       
21467 51.00       
21468 50.00       
21469 48.00       
21470 49.00       
21471 50.00       
21472 49.00       
21473 49.00       
21474 49.00       
21475 49.00       
21476 48.00       
21477 49.00       
21478 48.00       
21479 50.00       
21480 49.00       
21481 49.00       
21482 49.00       
21483 50.00       
21484 49.00       
21485 50.00       
21486 50.00       
21487 49.00       
21488 50.00       
21489 50.00       
21490 49.00       
21491 49.00       
21492 50.00       
21493 50.00       
21494 50.00       
21495 50.00       
21496 49.00       
21497 50.00       
21498 49.00       
21499 50.00       
21500 51.00       
21501 49.00       
21502 48.00       
21503 50.00       
21504 49.00       
21505 48.00       
21506 49.00       
21507 50.00       
21508 49.00       
21509 49.00       
21510 50.00       
21511 50.00       
21512 49.00       
21513 50.00       
21514 48.00       
21515 51.00       
21516 51.00       
21517 49.00       
21518 50.00       
21519 50.00       
21520 50.00       
21521 50.00       
21522 49.00       
21523 49.00       
21524 50.00       
21525 49.00       
21526 49.00       
21527 51.00       
21528 49.00       
21529 48.00       
21530 49.00       
21531 50.00       
21532 49.00       
21533 49.00       
21534 49.00       
21535 49.00       
21536 51.00       
21537 50.00       
21538 50.00       
21539 49.00       
21540 50.00       
21541 50.00       
21542 50.00       
21543 47.00       
21544 50.00       
21545 51.00       
21546 50.00       
21547 51.00       
21548 50.00       
21549 49.00       
21550 50.00       
21551 49.00       
21552 50.00       
21553 48.00       
21554 49.00       
21555 50.00       
21556 49.00       
21557 49.00       
21558 49.00       
21559 50.00       
21560 50.00       
21561 48.00       
21562 49.00       
21563 49.00       
21564 50.00       
21565 50.00       
21566 49.00       
21567 49.00       
21568 49.00       
21569 48.00       
21570 49.00       
21571 49.00       
21572 50.00       
21573 51.00       
21574 50.00       
21575 50.00       
21576 50.00       
21577 49.00       
21578 50.00       
21579 50.00       
21580 49.00       
21581 50.00       
21582 49.00       
21583 48.00       
21584 49.00       
21585 51.00       
21586 48.00       
21587 49.00       
21588 50.00       
21589 48.00       
21590 51.00       
21591 50.00       
21592 51.00       
21593 49.00       
21594 50.00       
21595 49.00       
21596 49.00       
21597 48.00       
21598 49.00       
21599 49.00       
21600 50.00       
21601 50.00       
21602 49.00       
21603 50.00       
21604 50.00       
21605 50.00       
21606 49.00       
21607 50.00       
21608 49.00       
21609 48.00       
21610 48.00       
21611 50.00       
21612 51.00       
21613 50.00       
21614 49.00       
21615 50.00       
21616 50.00       
21617 49.00       
21618 49.00       
21619 52.00       
21620 50.00       
21621 50.00       
21622 51.00       
21623 50.00       
21624 50.00       
21625 50.00       
21626 50.00       
21627 52.00       
21628 50.00       
21629 48.00       
21630 50.00       
21631 49.00       
21632 51.00       
21633 49.00       
21634 50.00       
21635 48.00       
21636 50.00       
21637 50.00       
21638 48.00       
21639 49.00       
21640 49.00       
21641 51.00       
21642 49.00       
21643 51.00       
21644 49.00       
21645 50.00       
21646 48.00       
21647 51.00       
21648 50.00       
21649 50.00       
21650 49.00       
21651 49.00       
21652 48.00       
21653 49.00       
21654 49.00       
21655 49.00       
21656 49.00       
21657 48.00       
21658 49.00       
21659 50.00       
21660 49.00       
21661 48.00       
21662 48.00       
21663 48.00       
21664 51.00       
21665 50.00       
21666 50.00       
21667 47.00       
21668 51.00       
21669 49.00       
21670 50.00       
21671 49.00       
21672 50.00       
21673 50.00       
21674 47.00       
21675 51.00       
21676 48.00       
21677 49.00       
21678 50.00       
21679 50.00       
21680 50.00       
21681 48.00       
21682 49.00       
21683 50.00       
21684 51.00       
21685 51.00       
21686 49.00       
21687 50.00       
21688 51.00       
21689 51.00       
21690 49.00       
21691 49.00       
21692 50.00       
21693 49.00       
21694 49.00       
21695 51.00       
21696 49.00       
21697 51.00       
21698 50.00       
21699 50.00       
21700 49.00       
21701 50.00       
21702 50.00       
21703 49.00       
21704 49.00       
21705 51.00       
21706 49.00       
21707 49.00       
21708 50.00       
21709 50.00       
21710 48.00       
21711 48.00       
21712 50.00       
21713 50.00       
21714 50.00       
21715 50.00       
21716 51.00       
21717 49.00       
21718 51.00       
21719 49.00       
21720 50.00       
21721 49.00       
21722 49.00       
21723 50.00       
21724 49.00       
21725 49.00       
21726 48.00       
21727 49.00       
21728 51.00       
21729 50.00       
21730 50.00       
21731 48.00       
21732 51.00       
21733 49.00       
21734 51.00       
21735 49.00       
21736 49.00       
21737 51.00       
21738 49.00       
21739 49.00       
21740 49.00       
21741 50.00       
21742 49.00       
21743 50.00       
21744 50.00       
21745 50.00       
21746 49.00       
21747 50.00       
21748 50.00       
21749 51.00       
21750 49.00       
21751 50.00       
21752 49.00       
21753 50.00       
21754 50.00       
21755 49.00       
21756 48.00       
21757 50.00       
21758 50.00       
21759 49.00       
21760 49.00       
21761 50.00       
21762 50.00       
21763 50.00       
21764 49.00       
21765 50.00       
21766 49.00       
21767 49.00       
21768 50.00       
21769 49.00       
21770 49.00       
21771 50.00       
21772 48.00       
21773 48.00       
21774 49.00       
21775 50.00       
21776 49.00       
21777 49.00       
21778 49.00       
21779 50.00       
21780 51.00       
21781 50.00       
21782 50.00       
21783 49.00       
21784 49.00       
21785 50.00       
21786 50.00       
21787 50.00       
21788 48.00       
21789 50.00       
21790 50.00       
21791 49.00       
21792 48.00       
21793 50.00       
21794 51.00       
21795 50.00       
21796 50.00       
21797 50.00       
21798 48.00       
21799 50.00       
21800 50.00       
21801 50.00       
21802 51.00       
21803 50.00       
21804 50.00       
21805 49.00       
21806 51.00       
21807 48.00       
21808 49.00       
21809 49.00       
21810 48.00       
21811 49.00       
21812 50.00       
21813 51.00       
21814 51.00       
21815 49.00       
21816 50.00       
21817 49.00       
21818 50.00       
21819 49.00       
21820 50.00       
21821 50.00       
21822 49.00       
21823 49.00       
21824 47.00       
21825 48.00       
21826 50.00       
21827 49.00       
21828 49.00       
21829 49.00       
21830 50.00       
21831 49.00       
21832 49.00       
21833 49.00       
21834 49.00       
21835 48.00       
21836 50.00       
21837 50.00       
21838 50.00       
21839 50.00       
21840 50.00       
21841 50.00       
21842 50.00       
21843 50.00       
21844 51.00       
21845 49.00       
21846 49.00       
21847 50.00       
21848 50.00       
21849 49.00       
21850 49.00       
21851 49.00       
21852 49.00       
21853 50.00       
21854 50.00       
21855 49.00       
21856 48.00       
21857 47.00       
21858 51.00       
21859 49.00       
21860 50.00       
21861 51.00       
21862 49.00       
21863 49.00       
21864 49.00       
21865 49.00       
21866 51.00       
21867 51.00       
21868 50.00       
21869 51.00       
21870 50.00       
21871 49.00       
21872 49.00       
21873 50.00       
21874 51.00       
21875 51.00       
21876 49.00       
21877 50.00       
21878 48.00       
21879 49.00       
21880 49.00       
21881 49.00       
21882 47.00       
21883 49.00       
21884 48.00       
21885 51.00       
21886 50.00       
21887 50.00       
21888 49.00       
21889 48.00       
21890 50.00       
21891 50.00       
21892 49.00       
21893 48.00       
21894 48.00       
21895 50.00       
21896 50.00       
21897 49.00       
21898 50.00       
21899 49.00       
21900 49.00       
21901 49.00       
21902 49.00       
21903 49.00       
21904 50.00       
21905 49.00       
21906 49.00       
21907 50.00       
21908 50.00       
21909 48.00       
21910 50.00       
21911 50.00       
21912 49.00       
21913 49.00       
21914 49.00       
21915 50.00       
21916 50.00       
21917 49.00       
21918 50.00       
21919 50.00       
21920 50.00       
21921 48.00       
21922 49.00       
21923 51.00       
21924 50.00       
21925 50.00       
21926 50.00       
21927 50.00       
21928 49.00       
21929 51.00       
21930 50.00       
21931 49.00       
21932 49.00       
21933 49.00       
21934 48.00       
21935 49.00       
21936 49.00       
21937 49.00       
21938 49.00       
21939 49.00       
21940 48.00       
21941 50.00       
21942 50.00       
21943 50.00       
21944 49.00       
21945 50.00       
21946 51.00       
21947 49.00       
21948 50.00       
21949 51.00       
21950 50.00       
21951 49.00       
21952 51.00       
21953 49.00       
21954 50.00       
21955 51.00       
21956 50.00       
21957 49.00       
21958 47.00       
21959 50.00       
21960 49.00       
21961 49.00       
21962 50.00       
21963 50.00       
21964 50.00       
21965 51.00       
21966 49.00       
21967 51.00       
21968 51.00       
21969 50.00       
21970 49.00       
21971 50.00       
21972 49.00       
21973 50.00       
21974 49.00       
21975 49.00       
21976 51.00       
21977 49.00       
21978 50.00       
21979 51.00       
21980 50.00       
21981 49.00       
21982 50.00       
21983 50.00       
21984 50.00       
21985 51.00       
21986 49.00       
21987 50.00       
21988 49.00       
21989 49.00       
21990 51.00       
21991 50.00       
21992 51.00       
21993 50.00       
21994 49.00       
21995 49.00       
21996 50.00       
21997 50.00       
21998 49.00       
21999 51.00       
22000 47.00       
22001 50.00       
22002 50.00       
22003 50.00       
22004 49.00       
22005 50.00       
22006 50.00       
22007 49.00       
22008 48.00       
22009 49.00       
22010 50.00       
22011 50.00       
22012 49.00       
22013 50.00       
22014 49.00       
22015 50.00       
22016 49.00       
22017 50.00       
22018 51.00       
22019 50.00       
22020 48.00       
22021 51.00       
22022 49.00       
22023 51.00       
22024 50.00       
22025 49.00       
22026 49.00       
22027 49.00       
22028 49.00       
22029 50.00       
22030 50.00       
22031 49.00       
22032 50.00       
22033 49.00       
22034 50.00       
22035 49.00       
22036 49.00       
22037 49.00       
22038 49.00       
22039 50.00       
22040 50.00       
22041 47.00       
22042 50.00       
22043 49.00       
22044 48.00       
22045 50.00       
22046 48.00       
22047 50.00       
22048 49.00       
22049 49.00       
22050 49.00       
22051 51.00       
22052 51.00       
22053 50.00       
22054 51.00       
22055 50.00       
22056 49.00       
22057 49.00       
22058 50.00       
22059 49.00       
22060 49.00       
22061 49.00       
22062 49.00       
22063 49.00       
22064 50.00       
22065 50.00       
22066 51.00       
22067 51.00       
22068 50.00       
22069 49.00       
22070 49.00       
22071 50.00       
22072 49.00       
22073 50.00       
22074 49.00       
22075 50.00       
22076 50.00       
